"stap_s","stap_t","gs","distance","ws","start","end","duration","n"
1,2,19.8808822713165-44.7961783047348i,554.152040636964,-4.4874922223813-15.7588957332452i,2021-09-24 00:15:10,2021-09-24 11:15:10,11,1
1,2,19.8808822713165-44.7961783047348i,554.152040636964,-4.4874922223813-15.7588957332452i,2021-09-24 00:15:10,2021-09-24 11:15:10,11,1
1,2,8.3313251672344-48.9627554005741i,560.803439610015,-2.1111249682373-13.643896205136i,2021-09-24 00:15:10,2021-09-24 11:15:10,11,1
1,2,37.337796494882-4.8546681757796i,432.614733456924,9.186490080917-10.4849473390729i,2021-09-24 00:15:10,2021-09-24 11:15:10,11,1
1,2,19.4973247365828-34.7403700598071i,453.813817713052,-0.3978620997593-14.9567781907152i,2021-09-24 00:15:10,2021-09-24 11:15:10,11,1
1,2,-17.0028284061098-60.9979195907592i,710.434314567689,-1.3856766915551-12.0055915515319i,2021-09-24 00:15:10,2021-09-24 11:15:10,11,1
1,2,18.2186688227715-44.8209154951604i,547.184304889268,-3.8798653837572-15.5405470354963i,2021-09-24 00:15:10,2021-09-24 11:15:10,11,1
1,2,18.1514211230553-42.8055600426762i,526.53115731423,-3.3451317105615-15.5423368169107i,2021-09-24 00:15:10,2021-09-24 11:15:10,11,1
1,2,3.3774997631436-57.0806155407453i,643.007325573183,-2.3378961357852-13.1612384510078i,2021-09-24 00:15:10,2021-09-24 11:15:10,11,1
1,2,39.8580319558809-18.4171773570229i,500.636988817185,5.0078775354917-17.734992676599i,2021-09-24 00:15:10,2021-09-24 11:15:10,11,1
2,3,-7.1173577467337-63.0454061292556i,713.625903997399,-10.8519546399249-10.7007047904301i,2021-09-24 23:45:10,2021-09-25 10:45:10,11,1
2,3,6.995790372894-48.8756004289839i,559.610934230159,-13.8952144316448-8.23099765391i,2021-09-24 23:45:10,2021-09-25 10:45:10,11,1
2,3,-25.0368446768242-95.2111861985184i,1096.80090691901,-6.6132575454211-14.8222825571746i,2021-09-24 23:45:10,2021-09-25 10:45:10,11,1
2,3,-5.2621304254349-59.0253808043063i,667.663189196966,-8.2678368118598-12.9240469493548i,2021-09-24 23:45:10,2021-09-25 10:45:10,11,1
2,3,20.5835794298165-30.6694743997345i,424.195460703732,-17.3932234804828-5.2580476861114i,2021-09-24 23:45:10,2021-09-25 10:45:10,11,1
2,3,-15.7959236872838-52.8631558527329i,623.254599287345,-11.7017405909231-10.5715520633719i,2021-09-24 23:45:10,2021-09-25 10:45:10,11,1
2,3,-8.9668120545516-69.1044952844584i,781.935112105041,-11.005284217833-9.5307546888965i,2021-09-24 23:45:10,2021-09-25 10:45:10,11,1
2,3,-8.5762594699821-40.7915689987377i,475.362599246246,-9.811705143981-11.9492102878021i,2021-09-24 23:45:10,2021-09-25 10:45:10,11,1
2,3,0-42.8020526246568i,487.700485250592,-17.0814575716135-6.4194840193836i,2021-09-24 23:45:10,2021-09-25 10:45:10,11,1
2,3,-32.9926178349491-60.6142124184208i,775.095600103865,-6.5332144036324-14.1081536124621i,2021-09-24 23:45:10,2021-09-25 10:45:10,11,1
3,4,-12.0714576303564-27.6071245500367i,409.97286193028,-11.4691846710571-6.3182312510795i,2021-09-25 23:45:10,2021-09-26 12:45:10,13,1
3,4,-17.1312656276754-48.0573270847917i,680.038140315109,-13.5783012050215-5.9821258117893i,2021-09-25 23:45:10,2021-09-26 12:45:10,13,1
3,4,-3.0813578136489-41.288776392966i,555.315170474767,-8.94514423684385-7.28084331910497i,2021-09-25 23:45:10,2021-09-26 12:45:10,13,1
3,4,-13.7843379909089-39.5486184036203i,561.75204365824,-13.9077347059417-4.1026491910254i,2021-09-25 23:45:10,2021-09-26 12:45:10,13,1
3,4,13.8049507197478-41.2580905814266i,582.72604700212,-10.5963193498169-2.7333480945958i,2021-09-25 23:45:10,2021-09-26 12:45:10,13,1
3,4,0-39.5807216722987i,531.704749353982,-14.4444776506474-1.2282289103879i,2021-09-25 23:45:10,2021-09-26 12:45:10,13,1
3,4,4.84736934515251-2.65159791140502i,91.8287383797946,-11.9661388642559-10.6475249908351i,2021-09-25 23:45:10,2021-09-26 12:45:10,13,1
3,4,-18.5571919893937-49.7586976756916i,706.942843971081,-12.7140556479556-1.6080872631908i,2021-09-25 23:45:10,2021-09-26 12:45:10,13,1
3,4,15.5129947892505-44.6543299104357i,631.556891397076,-10.476304228624-3.1125621984374i,2021-09-25 23:45:10,2021-09-26 12:45:10,13,1
3,4,-13.9403440487281-53.2357681813474i,731.579017121047,-13.2897180185419-2.5279854080668i,2021-09-25 23:45:10,2021-09-26 12:45:10,13,1
4,5,5.74464025669217+3.11277084944192i,46.6079930525758,-19.0932519197973-6.0773583509757i,2021-09-27 04:15:10,2021-09-27 08:15:10,4,1
4,5,-41.4618295537713+10.1130977406584i,191.452184101096,-20.5247625996668-9.2837806719746i,2021-09-27 04:15:10,2021-09-27 08:15:10,4,1
4,5,-61.811273228946+21.0617835909241i,281.810233315933,-19.0577263627357-10.5986321743595i,2021-09-27 04:15:10,2021-09-27 08:15:10,4,1
4,5,-15.3817781012483+0.041786784439i,82.0782209882362,-18.3610893486333-5.1689918257719i,2021-09-27 04:15:10,2021-09-27 08:15:10,4,1
4,5,6.82384456526233-7.33474541926426i,60.4255980549816,-16.1115356496581-9.2777969507677i,2021-09-27 04:15:10,2021-09-27 08:15:10,4,1
4,5,-41.11422208496+5.1714918286343i,186.399026520142,-18.0830624915277-8.4540195923485i,2021-09-27 04:15:10,2021-09-27 08:15:10,4,1
4,5,0-61.7595710045522i,265.823459463802,-25.5277506746739-14.6521913660019i,2021-09-27 04:15:10,2021-09-27 08:15:10,4,1
4,5,41.0775267864204+0.2490242489036i,184.944727801595,-17.3099160420944-6.2689696270421i,2021-09-27 04:15:10,2021-09-27 08:15:10,4,1
4,5,-22.2433680986467+24.043855034859i,151.30900479858,-12.5808239432997-10.4101142356301i,2021-09-27 04:15:10,2021-09-27 08:15:10,4,1
4,5,-5.13479226497835+0.00691693337795i,41.0990676917785,-14.267987711477-5.0593439364102i,2021-09-27 04:15:10,2021-09-27 08:15:10,4,1
5,6,-10.0004731509089+68.2040082695922i,672.213729409747,3.333726012956+29.7356816141982i,2022-04-06 00:45:10,2022-04-06 10:15:10,9.5,1
5,6,24.3473958023971+61.4173005770757i,645.586371257069,-8.8580298169205+33.436737108092i,2022-04-06 00:45:10,2022-04-06 10:15:10,9.5,1
