"stap_s","stap_t","gs","distance","ws","start","end","duration","n"
1,2,18.2186688227715-44.8209154951604i,547.184304889268,-3.8798653837572-15.5405470354963i,2021-09-24 00:15:10,2021-09-24 11:15:10,11,1
2,3,-3.4732172527623-46.8694677794353i,533.505349307062,-10.4706214445537-11.5544869353841i,2021-09-24 23:45:10,2021-09-25 10:45:10,11,1
3,4,-1.5272541438888-39.5886099153493i,532.12749790702,-12.255235649627-6.0008177617249i,2021-09-25 23:45:10,2021-09-26 12:45:10,13,1
4,5,-46.1808762268529-4.669504313403i,206.236110723438,-19.6993841260681-6.5524898846547i,2021-09-27 04:15:10,2021-09-27 08:15:10,4,1
5,6,0+61.117471412017i,598.225062428954,-1.4895184503006+32.9211406667052i,2022-04-06 00:45:10,2022-04-06 10:15:10,9.5,1
6,7,11.9092818024454+55.1313436027924i,272.311792243943,20.5005038573627+26.4823800542135i,2022-04-07 00:15:10,2022-04-07 04:45:10,4.5,1
7,8,3.4909900708868+64.8859108997382i,666.534443781542,20.6004373448812+39.3168687462368i,2022-04-14 00:45:10,2022-04-14 10:45:10,10,1
8,9,-10.5366652031581+13.2218339638666i,84.5055975339945,9.38442304490493-9.1996445967729i,2022-04-15 01:15:10,2022-04-15 05:15:10,4,1
