"stap_s","stap_t","gs","distance","ws","start","end","duration","n"
1,2,-7.9613121093748-42.9537301301793i,513.028961167806,3.4380279942376-16.2800921388257i,2021-10-04 00:10:00,2021-10-04 11:40:00,11.5,1
2,3,16.3306531538112-43.543728983841i,1246.17797096723,1.26119781311114-4.78129488766236i,2021-10-05 00:10:00,2021-10-06 02:40:00,26.5,1
3,4,7.4677093811533-31.5690999286272i,181.976000738979,-8.20086435355408-8.34488488756992i,2021-10-10 01:10:00,2021-10-10 06:10:00,5,1
4,5,-12.8009459530908-17.931953064816i,108.671591704038,-9.33679055685121+7.72301771181203i,2021-10-11 03:10:00,2021-10-11 07:10:00,4,1
5,6,-18.5260723704049-19.4202668766699i,61.1254820061159,-19.4715473585094+9.8692057362586i,2022-03-11 07:10:00,2022-03-11 08:40:00,1.5,1
6,7,-21.6423279925976+45.7915403801073i,147.042857684843,-27.5972352821822+21.3049683832722i,2022-03-12 04:40:00,2022-03-12 07:10:00,2.5,1
7,8,-12.2343800984132+84.462855745949i,1210.0046979745,-4.1152316644245+44.103949318305i,2022-04-05 01:10:00,2022-04-05 15:10:00,14,1
8,9,1.8448907428219+61.2636275592843i,599.21284342151,10.2800597504604+29.7545639178244i,2022-04-06 01:10:00,2022-04-06 10:40:00,9.5,1
9,10,-1.90806903160757+2.35914606156191i,28.5664763604348,24.339333669996-10.7538016347171i,2022-04-07 04:10:00,2022-04-07 07:40:00,3.5,1
10,11,-5.6092219350274+13.9368837924259i,48.3085514561304,18.1046791845635-5.8213214553364i,2022-04-08 03:40:00,2022-04-08 05:40:00,2,1
