"stap_s","stap_t","gs","distance","ws","start","end","duration","n"
1,2,7.9305521364931-41.0197545302178i,494.428683293108,6.0077963465392-13.7582111186947i,2021-10-04 00:10:00,2021-10-04 11:40:00,11.5,1
1,2,-33.8122140626032-46.3420206731727i,667.885596501397,1.9806920899949-14.8715497807298i,2021-10-04 00:10:00,2021-10-04 11:40:00,11.5,1
1,2,0-50.7195232469768i,595.029370990825,5.76308752895-14.4707571881634i,2021-10-04 00:10:00,2021-10-04 11:40:00,11.5,1
1,2,16.0534543606036-46.7437235883559i,583.486569600437,6.8254912937058-10.4827813503729i,2021-10-04 00:10:00,2021-10-04 11:40:00,11.5,1
1,2,-29.7547480847163-31.1270981604709i,503.531558759223,6.1654791311854-10.4163724239585i,2021-10-04 00:10:00,2021-10-04 11:40:00,11.5,1
1,2,-14.4944505894535-48.6958448195317i,593.9501605894,3.9005542687338-14.6549494347983i,2021-10-04 00:10:00,2021-10-04 11:40:00,11.5,1
1,2,13.7805015951847-25.577775509837i,351.798133692621,6.6414545931081-13.7146685904707i,2021-10-04 00:10:00,2021-10-04 11:40:00,11.5,1
1,2,-21.9322890176868-33.1837430104851i,466.217658880784,4.4820507478116-12.6035885187998i,2021-10-04 00:10:00,2021-10-04 11:40:00,11.5,1
1,2,9.7231377980606-52.6137667185142i,628.657278744849,6.1879875969602-10.379661063122i,2021-10-04 00:10:00,2021-10-04 11:40:00,11.5,1
1,2,-24.2649119038593-50.4567507386156i,652.574622147417,1.1058598590434-16.2947634930215i,2021-10-04 00:10:00,2021-10-04 11:40:00,11.5,1
2,3,12.5173725043364-47.0173264914757i,1302.47984790039,-1.5075852058912+4.2640244808075i,2021-10-05 00:10:00,2021-10-06 02:40:00,26.5,1
2,3,29.4077963426754-52.1947850701368i,1600.63074753581,-2.45762648777017-9.41097644693305i,2021-10-05 00:10:00,2021-10-06 02:40:00,26.5,1
2,3,9.4484903836461-47.0825200241079i,1285.61911439061,1.76244639906361-2.57245067187246i,2021-10-05 00:10:00,2021-10-06 02:40:00,26.5,1
2,3,7.0556935263008-46.2835261935045i,1253.79202897943,-1.72208283453042+8.13476649505443i,2021-10-05 00:10:00,2021-10-06 02:40:00,26.5,1
2,3,19.6751339017859-52.6575084581469i,1502.14688718189,-2.0940994341539-14.7846399752701i,2021-10-05 00:10:00,2021-10-06 02:40:00,26.5,1
2,3,24.2948136051724-44.9028552649288i,1366.89850068829,-1.41506075489299-1.20808606791252i,2021-10-05 00:10:00,2021-10-06 02:40:00,26.5,1
2,3,-3.185655825507-60.6226272032756i,1619.63566842683,0.02947193694719-2.14303716516138i,2021-10-05 00:10:00,2021-10-06 02:40:00,26.5,1
2,3,28.3163896301591-51.3812340485787i,1567.7572004415,-2.04343930677552-3.67808961764146i,2021-10-05 00:10:00,2021-10-06 02:40:00,26.5,1
2,3,5.5375612584518-48.8193606728554i,1314.73373145352,1.20051136893037+3.2947378379474i,2021-10-05 00:10:00,2021-10-06 02:40:00,26.5,1
2,3,22.8751795327021-47.4945093070204i,1410.47838291746,-1.33459031747547-8.20942869283824i,2021-10-05 00:10:00,2021-10-06 02:40:00,26.5,1
3,4,-15.6011064540293-44.9789384170446i,257.563283427808,-9.23943633572825-4.36900673848688i,2021-10-10 01:10:00,2021-10-10 06:10:00,5,1
3,4,-35.719165505537-41.0458479394434i,292.189699499153,-5.9508648216169+4.60712534898854i,2021-10-10 01:10:00,2021-10-10 06:10:00,5,1
3,4,4.69082673731742-2.47089939456679i,47.4000177663364,-8.56726809610107-4.109764575346i,2021-10-10 01:10:00,2021-10-10 06:10:00,5,1
3,4,-29.4283640589297-7.6451765252061i,172.882427174914,-9.32194929023562-5.37274997517392i,2021-10-10 01:10:00,2021-10-10 06:10:00,5,1
3,4,31.3786271771906-40.9595744974014i,277.888471603153,0.40456503382902-3.15787794237503i,2021-10-10 01:10:00,2021-10-10 06:10:00,5,1
3,4,-26.1076992259345-19.5556841972433i,183.626100180332,-8.91863244867732-6.32965520286708i,2021-10-10 01:10:00,2021-10-10 06:10:00,5,1
3,4,37.896351127056-3.7686423176316i,211.491786858723,-0.21005193204477-2.55831874286574i,2021-10-10 01:10:00,2021-10-10 06:10:00,5,1
3,4,-19.4220935262281-40.6530591683337i,245.01886067454,-9.22588045091381-3.63166585800236i,2021-10-10 01:10:00,2021-10-10 06:10:00,5,1
3,4,5.52270300737362+5.83744848640179i,61.0225513278986,-10.4297155128454+2.5604049485871i,2021-10-10 01:10:00,2021-10-10 06:10:00,5,1
3,4,-7.3991555338814-27.1026977396104i,160.589799012602,-8.20037661991191+6.76032442888237i,2021-10-10 01:10:00,2021-10-10 06:10:00,5,1
4,5,-18.5050493059485+34.3168563948296i,176.289726705521,-10.8288992452681+7.6193627284647i,2021-10-11 03:10:00,2021-10-11 07:10:00,4,1
