"stap_id","j","ind","lat","lon","start","end","include","known"
1,1,8817,36.66378,-91.19612,2021-06-16 19:10:00,2021-10-04 00:10:00,TRUE,TRUE
2,1,7840,32.1,-92.1,2021-10-04 11:40:00,2021-10-05 00:10:00,TRUE,FALSE
3,1,12093,21.5,-87.9,2021-10-06 02:40:00,2021-10-10 01:10:00,TRUE,FALSE
4,1,12501,19.9,-87.5,2021-10-10 06:10:00,2021-10-11 03:10:00,TRUE,FALSE
5,1,11905,19.1,-88.1,2021-10-11 07:10:00,2022-03-11 07:10:00,TRUE,FALSE
6,1,11507,18.7,-88.5,2022-03-11 08:40:00,2022-03-12 04:40:00,TRUE,FALSE
7,1,10901,19.9,-89.1,2022-03-12 07:10:00,2022-04-05 01:10:00,TRUE,FALSE
8,1,9047,30.7,-90.9,2022-04-05 15:10:00,2022-04-06 01:10:00,TRUE,FALSE
9,1,9220,36.1,-90.7,2022-04-06 10:40:00,2022-04-07 04:10:00,TRUE,FALSE
10,1,9019,36.3,-90.9,2022-04-07 07:40:00,2022-04-08 03:40:00,TRUE,FALSE
11,1,8817,36.66378,-91.19612,2022-04-08 05:40:00,2022-05-03 05:10:00,TRUE,TRUE
