"stap_id","j","ind","lat","lon","start","end","include","known"
1,1,17614,37.294295,-82.301768,2021-06-30 20:57:05,2021-10-16 23:57:05,TRUE,TRUE
2,1,18852,29.7,-81.1,2021-10-17 10:57:05,2021-10-17 23:27:05,TRUE,FALSE
3,1,18085,23.1,-81.9,2021-10-18 11:57:05,2021-10-19 00:27:05,TRUE,FALSE
4,1,17493,21.5,-82.5,2021-10-19 05:57:05,2021-12-21 18:57:05,TRUE,FALSE
5,1,17493,21.5,-82.5,2021-12-21 20:27:05,2022-04-06 00:27:05,TRUE,FALSE
6,1,17465,27.1,-82.5,2022-04-06 10:57:05,2022-04-07 00:27:05,TRUE,FALSE
7,1,18448,30.5,-81.5,2022-04-07 06:27:05,2022-04-12 02:27:05,TRUE,FALSE
8,1,18625,35.1,-81.3,2022-04-12 09:57:05,2022-04-14 05:27:05,TRUE,FALSE
9,1,18217,36.7,-81.7,2022-04-14 08:57:05,2022-04-16 05:57:05,TRUE,FALSE
10,1,17416,36.9,-82.5,2022-04-16 07:57:05,2022-04-17 03:57:05,TRUE,FALSE
11,1,17614,37.294295,-82.301768,2022-04-17 06:27:05,2022-06-14 04:57:05,TRUE,TRUE
