"stap_s","stap_t","gs","distance","ws","start","end","duration","n"
1,2,10.4052507926092-75.2471448293155i,849.659304823069,10.0381728856984-39.4111852153618i,2021-10-16 23:57:05,2021-10-17 10:57:05,11,1
2,3,-6.4289387527151-57.2142317673896i,735.581657619889,-20.2442709482773-20.3379088102719i,2021-10-17 23:27:05,2021-10-18 11:57:05,12.5,1
3,4,-10.1243378312832-28.8278379762478i,187.651496303211,-28.2604816601359-12.2816584946335i,2021-10-19 00:27:05,2021-10-19 05:57:05,5.5,1
4,5,0+0i,0,25.0566396132279+13.3361121871797i,2021-12-21 18:57:05,2021-12-21 20:27:05,1.5,1
5,6,0+57.3975554008362i,620.273707728217,-10.7942492470443+28.8579759246248i,2022-04-06 00:27:05,2022-04-06 10:57:05,10.5,1
6,7,15.258999870859+59.9259195951697i,389.264733682248,19.7971448400345+30.1799173295075i,2022-04-07 00:27:05,2022-04-07 06:27:05,6,1
7,8,2.3516866787967+65.7216440227606i,510.488722141551,10.1866787951121+32.7810470897268i,2022-04-12 02:27:05,2022-04-12 09:57:05,7.5,1
8,9,-9.2184949691457+45.7988260032736i,181.166236140267,11.0152986992591+25.1145897815157i,2022-04-14 05:27:05,2022-04-14 08:57:05,3.5,1
9,10,-27.1097548814992+8.5519941154076i,74.7654271830259,-0.4954579849996+11.3258116893702i,2022-04-16 05:57:05,2022-04-16 07:57:05,2,1
10,11,4.4696231352717+11.1941590608081i,47.1738055832832,9.3716502829445-24.9116135537338i,2022-04-17 03:57:05,2022-04-17 06:27:05,2.5,1
