"stap_id","start","end","known_lon","known_lat","include","alt_mean","alt_med","alt_min","alt_max"
2,2021-10-17 10:57:05,2021-10-17 23:27:05,NA,NA,TRUE,21.4,20.6,14.4,35.4
3,2021-10-18 11:57:05,2021-10-19 00:27:05,NA,NA,TRUE,25,24.5,20.6,31.2
4,2021-10-19 05:57:05,2021-12-21 18:57:05,NA,NA,TRUE,-3.5,-3.4,-93.6,10.2
6,2022-04-06 10:57:05,2022-04-07 00:27:05,NA,NA,TRUE,1.1,0.4,-2.8,6.4
7,2022-04-07 06:27:05,2022-04-12 02:27:05,NA,NA,TRUE,13.4,13.2,3.8,28.8
8,2022-04-12 09:57:05,2022-04-14 05:27:05,NA,NA,TRUE,196.5,197.5,171.6,209.5
9,2022-04-14 08:57:05,2022-04-16 05:57:05,NA,NA,TRUE,877.5,878.3,841.4,895.7
10,2022-04-16 07:57:05,2022-04-17 03:57:05,NA,NA,TRUE,729.5,748.1,609,766.3
