"stap_id","j","ind","lat","lon","start","end","include","known"
1,1,9048,30.47374,-90.99295,2021-06-15 11:52:14,2021-08-30 12:52:14,TRUE,TRUE
2,1,8848,30.5,-91.1,2021-08-30 13:52:14,2021-09-23 00:52:14,TRUE,FALSE
3,1,11294,21.3,-88.7,2021-09-23 21:22:14,2021-09-24 01:52:14,TRUE,FALSE
4,1,9503,19.5,-90.5,2021-09-24 09:22:14,2022-03-23 00:52:14,TRUE,FALSE
5,1,10894,21.3,-89.1,2022-03-23 23:22:14,2022-03-29 01:22:14,TRUE,FALSE
6,1,8652,29.7,-91.3,2022-03-29 15:22:14,2022-03-30 01:22:14,TRUE,FALSE
7,1,9048,30.47374,-90.99295,2022-03-30 04:22:14,2022-04-15 04:52:14,TRUE,TRUE
