"stap_s","stap_t","gs","distance","ws","start","end","duration","n"
1,2,0+0i,10.6824017843691,24.2151630468333+10.8511770771901i,2021-08-30 12:52:14,2021-08-30 13:52:14,1,1
2,3,12.0306101068052-48.9167278338319i,1047.13340454282,-11.2254314000273-24.8639168959857i,2021-09-23 00:52:14,2021-09-23 21:22:14,20.5,1
3,4,-23.3576323347367-24.5006739234507i,273.87474409163,-10.572667127473-2.4678924769192i,2021-09-24 01:52:14,2021-09-24 09:22:14,7.5,1
4,5,5.93107002213967+8.15997123640626i,247.109945659036,-15.9944786453079+20.4419285597134i,2022-03-23 00:52:14,2022-03-23 23:22:14,22.5,1
5,6,-14.9997984544275+65.4484754628324i,956.413192761471,-18.7385183808562+35.4104387003972i,2022-03-29 01:22:14,2022-03-29 15:22:14,14,1
6,7,10.283846161384+23.767620880335i,90.7359012018395,-15.1730444878173+32.3220622729476i,2022-03-30 01:22:14,2022-03-30 04:22:14,3,1
