"stap_s","stap_t","gs","distance","ws","start","end","duration","n"
1,2,16.2835284151303-42.5728185366545i,1106.16578204303,2.19489637516111+3.84858378258134i,2021-10-05 00:53:35,2021-10-06 00:53:35,24,1
1,2,6.8675787453065-43.6893514414491i,1071.82457676064,2.91254515286897+0.07457719296803i,2021-10-05 00:53:35,2021-10-06 00:53:35,24,1
1,2,10.5246354604684-54.7658917924086i,1347.63017165737,-0.757379844917674-0.380644240162039i,2021-10-05 00:53:35,2021-10-06 00:53:35,24,1
1,2,13.8144042694547-46.3470320339115i,1171.79347690434,1.38717355998337+2.19492944597125i,2021-10-05 00:53:35,2021-10-06 00:53:35,24,1
1,2,-7.9705208347167-60.3733660512157i,1468.05119071069,1.24269584367537-8.4973969256039i,2021-10-05 00:53:35,2021-10-06 00:53:35,24,1
1,2,13.839582093479-47.2739694174955i,1193.14048756537,0.98163759673153+1.89155503710029i,2021-10-05 00:53:35,2021-10-06 00:53:35,24,1
1,2,6.8543256692233-42.7619481191499i,1049.93302568683,3.10372791261221+0.19509446081371i,2021-10-05 00:53:35,2021-10-06 00:53:35,24,1
1,2,-15.915409086281-59.2819617080256i,1479.38940464867,2.0518412271197-13.8924453721094i,2021-10-05 00:53:35,2021-10-06 00:53:35,24,1
1,2,11.3826246263313-53.8217932276585i,1329.76285193868,-0.881889236496052-0.138075075916089i,2021-10-05 00:53:35,2021-10-06 00:53:35,24,1
1,2,10.5421001103798-55.6933430567489i,1369.42702655159,-0.896359054830381-0.420131279957838i,2021-10-05 00:53:35,2021-10-06 00:53:35,24,1
2,3,-4.830409883554-10.2778738295625i,48.9201588617083,-16.4098931476808+3.0379562010579i,2021-10-06 03:23:35,2021-10-06 05:53:35,2.5,1
2,3,-18.2558368307272-12.9002056700845i,76.5373529899739,-9.63625220301689+8.02512066246523i,2021-10-06 03:23:35,2021-10-06 05:53:35,2.5,1
2,3,12.4660801504032-19.5400094883332i,78.7195501652317,-13.1907102274712-4.1492542953404i,2021-10-06 03:23:35,2021-10-06 05:53:35,2.5,1
2,3,9.35233930680984-4.94511678729977i,47.2598712234283,-16.5761441254731+3.778563400755i,2021-10-06 03:23:35,2021-10-06 05:53:35,2.5,1
2,3,43.8797603772464+30.7635766470203i,154.946911742189,1.06773949875826+2.99068239687156i,2021-10-06 03:23:35,2021-10-06 05:53:35,2.5,1
2,3,0-18.364214094306i,66.422577557643,-15.6965335706392+3.9405263030728i,2021-10-06 03:23:35,2021-10-06 05:53:35,2.5,1
2,3,50.3174972002383-15.0774148189933i,152.053028640893,-10.858381999633+5.9769639150675i,2021-10-06 03:23:35,2021-10-06 05:53:35,2.5,1
2,3,-14.5757586255035-45.3087514334479i,139.460695258395,1.7356054382403-17.0342820864174i,2021-10-06 03:23:35,2021-10-06 05:53:35,2.5,1
2,3,6.5542375156869-27.411502133866i,91.0328553257906,-13.6422932057844-4.0289405285976i,2021-10-06 03:23:35,2021-10-06 05:53:35,2.5,1
2,3,2.64704321777684-2.76977534951596i,30.6045466474679,-11.6981513345187-4.349598624992i,2021-10-06 03:23:35,2021-10-06 05:53:35,2.5,1
3,4,-41.5978625588969+0.077700354374i,62.4236598211264,-10.1675619481847-1.4941657009873i,2021-10-06 13:23:35,2021-10-06 14:23:35,1,1
3,4,-12.0946943900069-25.6322894220985i,48.9523936000677,-6.26707463101745+2.89096712417343i,2021-10-06 13:23:35,2021-10-06 14:23:35,1,1
3,4,-12.1676701764626-25.3830572467097i,49.0827900835041,-7.13257021998902-6.25875441358131i,2021-10-06 13:23:35,2021-10-06 14:23:35,1,1
3,4,-6.62996993655589-7.01431418000809i,30.4494422312208,-15.1841286661779-4.4929479708609i,2021-10-06 13:23:35,2021-10-06 14:23:35,1,1
3,4,-23.6392372561326-12.333989748114i,47.7545403617611,8.65009481716875-1.53357503621135i,2021-10-06 13:23:35,2021-10-06 14:23:35,1,1
3,4,14.8203509151526-46.7618827307467i,69.661194443738,-14.8712486202185-6.0361796101991i,2021-10-06 13:23:35,2021-10-06 14:23:35,1,1
3,4,-42.7669990652738+15.2709884659645i,66.1956503107262,-9.5424398452473-1.33291299265494i,2021-10-06 13:23:35,2021-10-06 14:23:35,1,1
3,4,21.3469497974837+0.0211634648197i,42.7056549548155,6.306472067243-31.6044960144204i,2021-10-06 13:23:35,2021-10-06 14:23:35,1,1
3,4,-31.2423051457638-48.8054360751719i,78.7935019084884,-5.55331551428235-6.08364722191939i,2021-10-06 13:23:35,2021-10-06 14:23:35,1,1
3,4,33.2148954243002+69.9110728444099i,98.0884702946367,-5.55627255842646-6.59739506473161i,2021-10-06 13:23:35,2021-10-06 14:23:35,1,1
4,5,-14.4698678645401-10.8649566629641i,183.331156917526,-22.1710352455163-0.2187267600368i,2021-10-07 00:23:35,2021-10-07 09:23:35,9,1
4,5,-2.2155640716015-32.3157089143935i,310.65018688359,-5.48872273045548-9.23795185806386i,2021-10-07 00:23:35,2021-10-07 09:23:35,9,1
4,5,-10.049806322101-8.3250245814485i,138.353149330448,-11.6443886557365-3.5035485972625i,2021-10-07 00:23:35,2021-10-07 09:23:35,9,1
4,5,-20.3033233240487-37.3760178970691i,401.963231061113,-18.1678982468755-4.6047837235571i,2021-10-07 00:23:35,2021-10-07 09:23:35,9,1
4,5,28.2411264561772+11.627874168304i,295.883194932123,-7.4291529669674-7.65836941096282i,2021-10-07 00:23:35,2021-10-07 09:23:35,9,1
4,5,-29.2057245493465-27.7613394729471i,382.685681094964,-14.1212935392897-5.3853251608053i,2021-10-07 00:23:35,2021-10-07 09:23:35,9,1
4,5,-17.7741808831474-32.4708920037409i,352.432531113709,-15.6330246986346-1.914681230068i,2021-10-07 00:23:35,2021-10-07 09:23:35,9,1
4,5,47.3877167064202+2.8370452626986i,448.716082979151,1.22963855695748-5.85041262557744i,2021-10-07 00:23:35,2021-10-07 09:23:35,9,1
4,5,-4.3917557813831-24.8782394542635i,247.178903561703,-5.58311733109882-4.25262123108007i,2021-10-07 00:23:35,2021-10-07 09:23:35,9,1
4,5,-9.1040509404932-42.2103437672005i,407.395425413369,-13.1174870851415-6.8390226816451i,2021-10-07 00:23:35,2021-10-07 09:23:35,9,1
5,6,16.9194650478872+52.7579451451538i,1262.08611138036,-3.7382729138578+42.9532827228391i,2022-04-05 00:23:35,2022-04-05 22:53:35,22.5,1
5,6,8.5362602578987+62.4425836674008i,1432.18423677851,-3.4483140227522+41.858974409018i,2022-04-05 00:23:35,2022-04-05 22:53:35,22.5,1
5,6,2.5646107724498+65.3552469918792i,1485.38341884941,-6.7942843766842+42.0427122064953i,2022-04-05 00:23:35,2022-04-05 22:53:35,22.5,1
5,6,3.4141322831922+66.3486968812158i,1508.49309952588,-6.4741446185227+42.0522153691489i,2022-04-05 00:23:35,2022-04-05 22:53:35,22.5,1
5,6,-15.3051848493899+54.6780344370038i,1292.74248792379,-1.2869757374337+34.4015290022077i,2022-04-05 00:23:35,2022-04-05 22:53:35,22.5,1
5,6,5.9869690773218+66.3661315947466i,1512.9857320734,-3.9861079360979+40.9736836026818i,2022-04-05 00:23:35,2022-04-05 22:53:35,22.5,1
5,6,8.4929207177553+60.4695166403728i,1388.31129780425,-3.1767729897031+41.8261853175283i,2022-04-05 00:23:35,2022-04-05 22:53:35,22.5,1
5,6,-5.9585493955835+69.334576227475i,1579.18608719666,-0.4196248033383+34.1914236508682i,2022-04-05 00:23:35,2022-04-05 22:53:35,22.5,1
5,6,-4.3106233230695+70.3033162121226i,1597.96358013812,-7.0197924669245+39.1031836458889i,2022-04-05 00:23:35,2022-04-05 22:53:35,22.5,1
5,6,-6.0227921511308+70.31718145937i,1601.13563310777,-6.7287741905371+39.4065265116917i,2022-04-05 00:23:35,2022-04-05 22:53:35,22.5,1
6,7,-57.548706973638-2.525741965604i,365.078435721484,0.0067426667527+20.2442135624649i,2022-04-06 01:23:35,2022-04-06 07:23:35,6,1
6,7,-16.0184644988439+0.0846350754647i,115.433160458009,8.6225902089184+24.2177542600834i,2022-04-06 01:23:35,2022-04-06 07:23:35,6,1
6,7,-9.71857998897641+2.84006302766884i,80.0107319032168,6.4414205677337+19.4414339944323i,2022-04-06 01:23:35,2022-04-06 07:23:35,6,1
6,7,-6.63020218479484-2.52940427961331i,61.7741278454324,7.0493858955924+22.0566421427527i,2022-04-06 01:23:35,2022-04-06 07:23:35,6,1
6,7,19.3098247344885-3.0538371323022i,136.619140899464,1.5511664123935+19.488329774191i,2022-04-06 01:23:35,2022-04-06 07:23:35,6,1
6,7,-28.8322791611548+0.2539133630481i,192.387009337736,5.7360989031747+20.7730566407527i,2022-04-06 01:23:35,2022-04-06 07:23:35,6,1
6,7,-15.9775776613057+3.1736874950147i,116.963885189792,0.5991309672046+13.2345240524644i,2022-04-06 01:23:35,2022-04-06 07:23:35,6,1
6,7,28.8701114131325-6.4106440929785i,196.66547623607,0.3928792154974+13.7849284317171i,2022-04-06 01:23:35,2022-04-06 07:23:35,6,1
6,7,-13.0067333582652-2.9176021147868i,99.3748478816724,5.9613558721761+23.0423792719219i,2022-04-06 01:23:35,2022-04-06 07:23:35,6,1
6,7,-16.1087197858881+3.1719471932732i,117.886420366575,4.1250590096921+20.0251536793657i,2022-04-06 01:23:35,2022-04-06 07:23:35,6,1
7,8,-4.34880953224852+2.52395515305244i,44.307149728885,12.1184643322792-23.6396901940088i,2022-04-07 01:23:35,2022-04-07 06:23:35,5,1
7,8,-23.171789681386-3.6646045587625i,136.619140899464,11.3353936255801-30.6601637751268i,2022-04-07 01:23:35,2022-04-07 06:23:35,5,1
7,8,-23.0192364178757+0.1427436785537i,134.39763693797,9.4128231621321-30.2990306498039i,2022-04-07 01:23:35,2022-04-07 06:23:35,5,1
7,8,-30.7220718033499+4.1861093324898i,174.387788936122,11.6900133259941-27.8853354345493i,2022-04-07 01:23:35,2022-04-07 06:23:35,5,1
7,8,-12.4438645548563+10.843483790358i,101.657979140275,6.6607405819635-41.7767753057333i,2022-04-07 01:23:35,2022-04-07 06:23:35,5,1
