"stap_id","j","ind","lat","lon","start","end","include","known"
1,1,9047,30.65796,-90.95882,2021-06-15 21:23:35,2021-10-05 00:53:35,TRUE,TRUE
2,1,9895,21.1,-90.1,2021-10-06 00:53:35,2021-10-06 03:23:35,TRUE,FALSE
3,1,9898,20.5,-90.1,2021-10-06 05:53:35,2021-10-06 13:23:35,TRUE,FALSE
4,1,9499,20.3,-90.5,2021-10-06 14:23:35,2021-10-07 00:23:35,TRUE,FALSE
5,1,9316,16.9,-90.7,2021-10-07 09:23:35,2022-04-05 00:53:35,TRUE,FALSE
6,1,10452,29.7,-89.5,2022-04-05 21:23:35,2022-04-06 01:23:35,TRUE,FALSE
7,1,10250,30.1,-89.7,2022-04-06 07:23:35,2022-04-07 01:23:35,TRUE,FALSE
8,1,10248,30.5,-89.7,2022-04-07 06:23:35,2022-04-08 02:23:35,TRUE,FALSE
9,1,10048,30.5,-89.9,2022-04-08 04:23:35,2022-04-09 02:53:35,TRUE,FALSE
10,1,9849,30.3,-90.1,2022-04-09 04:23:35,2022-04-10 02:23:35,TRUE,FALSE
11,1,9047,30.65796,-90.95882,2022-04-10 05:53:35,2022-05-01 04:53:35,TRUE,TRUE
