"stap_s","stap_t","gs","distance","ws","start","end","duration","n"
1,2,3.4336447833281-43.7199495617791i,1062.38338511989,3.3653854692933-1.21152047593775i,2021-10-05 00:53:35,2021-10-06 00:53:35,24,1
2,3,0-18.4081667906438i,66.4286677218661,-14.0773530343099+2.2276287252551i,2021-10-06 03:23:35,2021-10-06 05:53:35,2.5,1
3,4,-23.3808482670281-12.3627919682503i,47.2598712234311,-6.1177601377772+4.36883603725886i,2021-10-06 13:23:35,2021-10-06 14:23:35,1,1
4,5,-2.2512265009051-39.7354595717966i,376.929084434837,-4.94029319171-10.9210760428579i,2021-10-07 00:23:35,2021-10-07 09:23:35,9,1
5,6,7.6817655149143+66.3853742456598i,1517.36402040688,-1.7497421522617+40.2392431507785i,2022-04-05 00:23:35,2022-04-05 22:53:35,22.5,1
6,7,-9.74470833715221-2.77311854115316i,80.0107319032151,5.4296277987263+19.2845253979819i,2022-04-06 01:23:35,2022-04-06 07:23:35,6,1
7,8,0+0.608251923989114i,22.1718423262494,11.0170972711914-29.1776810748465i,2022-04-07 01:23:35,2022-04-07 06:23:35,5,1
8,9,0+0i,19.1997829504277,23.1383034542483-20.4070821875205i,2022-04-08 02:23:35,2022-04-08 04:23:35,2,1
9,10,-4.46640300373249-5.143330030657i,29.3423745980037,25.0772257550829-8.574377565266i,2022-04-09 02:53:35,2022-04-09 04:23:35,1.5,1
10,11,-17.1595996462828+9.98913221849i,91.5147316265161,13.2876137230748+22.0919056169947i,2022-04-10 02:23:35,2022-04-10 05:53:35,3.5,1
