"stap_id","j","ind","lat","lon","start","end","include","known"
1,1,15824,35.28581,-84.1793,2021-06-15 17:16:40,2021-09-23 00:16:40,TRUE,TRUE
2,1,18869,26.3,-81.1,2021-09-23 20:46:40,2021-09-23 23:46:40,TRUE,FALSE
3,1,19286,22.9,-80.7,2021-09-24 08:16:40,2021-09-25 00:16:40,TRUE,FALSE
4,1,19690,22.1,-80.3,2021-09-25 02:46:40,2021-09-26 02:46:40,TRUE,FALSE
5,1,19891,21.9,-80.1,2021-09-26 03:16:40,2021-09-29 04:16:40,TRUE,FALSE
6,1,20289,22.3,-79.7,2021-09-29 06:46:40,2022-03-25 00:16:40,TRUE,FALSE
7,1,19871,25.9,-80.1,2022-03-25 11:16:40,2022-03-26 02:46:40,TRUE,FALSE
8,1,19867,26.7,-80.1,2022-03-26 06:46:40,2022-03-29 00:46:40,TRUE,FALSE
9,1,19663,27.5,-80.3,2022-03-29 03:16:40,2022-03-31 01:46:40,TRUE,FALSE
10,1,18255,29.1,-81.7,2022-03-31 04:16:40,2022-03-31 07:16:40,TRUE,FALSE
11,1,17449,30.3,-82.5,2022-03-31 09:16:40,2022-04-06 00:46:40,TRUE,FALSE
12,1,18036,32.9,-81.9,2022-04-06 06:46:40,2022-04-11 01:46:40,TRUE,FALSE
13,1,15824,35.28581,-84.1793,2022-04-11 07:46:40,2022-06-09 04:46:40,TRUE,TRUE
