"stap_s","stap_t","gs","distance","ws","start","end","duration","n"
1,2,13.4102494498251-44.5684877743927i,969.340941266592,9.5923306948356-17.5328347618505i,2021-09-23 00:16:40,2021-09-23 20:46:40,20.5,1
1,2,9.9783302054192-65.2739724548865i,1365.63461813114,5.0341926247077-18.4889811737807i,2021-09-23 00:16:40,2021-09-23 20:46:40,20.5,1
1,2,8.9805235199699-65.2907571789631i,1362.91017968674,4.8145105919778-18.7803527029687i,2021-09-23 00:16:40,2021-09-23 20:46:40,20.5,1
1,2,2.0034803840904-67.530846419575i,1395.76218149581,3.120738116319-21.9236793634326i,2021-09-23 00:16:40,2021-09-23 20:46:40,20.5,1
1,2,2.0073329421383-68.6168832171643i,1417.89905807393,3.2250026948507-21.849866613305i,2021-09-23 00:16:40,2021-09-23 20:46:40,20.5,1
1,2,28.3079026908235-72.263241699374i,1604.24583874401,6.8298793176208-15.0116513477027i,2021-09-23 00:16:40,2021-09-23 20:46:40,20.5,1
1,2,13.47351526349-46.7381413818448i,1012.07098759757,9.2447179791105-17.0792536064718i,2021-09-23 00:16:40,2021-09-23 20:46:40,20.5,1
1,2,28.824408959282-45.0679476343678i,1114.39723922309,14.9513180512266-15.0291064560836i,2021-09-23 00:16:40,2021-09-23 20:46:40,20.5,1
1,2,15.0542050824022-68.4204372507193i,1448.36390460642,6.1112155127755-17.2960234327435i,2021-09-23 00:16:40,2021-09-23 20:46:40,20.5,1
1,2,16.1185396182048-70.56417250952i,1495.86247207547,5.7712073428952-16.8959509622154i,2021-09-23 00:16:40,2021-09-23 20:46:40,20.5,1
2,3,0-52.6690448391316i,465.235018555697,-2.71040414871887-2.20523846372624i,2021-09-23 23:46:40,2021-09-24 08:16:40,8.5,1
2,3,22.3115656973491-14.1950488981274i,244.96097856607,-6.43131868454054-3.80047494156034i,2021-09-23 23:46:40,2021-09-24 08:16:40,8.5,1
2,3,29.3409760244853-11.8528814418381i,289.357576598968,-5.06170039952489-2.16701899846374i,2021-09-23 23:46:40,2021-09-24 08:16:40,8.5,1
2,3,26.579067732773+0.2148541534279i,246.591795530955,-4.8848076486725-1.99926923049741i,2021-09-23 23:46:40,2021-09-24 08:16:40,8.5,1
2,3,31.5831298296115-4.5482773743137i,291.897155484288,-5.84330830028191-4.63639852187835i,2021-09-23 23:46:40,2021-09-24 08:16:40,8.5,1
2,3,6.1860703058995-10.9453266708172i,127.04263448231,-3.47995555840447-5.21863228661847i,2021-09-23 23:46:40,2021-09-24 08:16:40,8.5,1
2,3,11.7235918941666-55.2727340247036i,497.808964582553,0.15180122469393-3.23180103416404i,2021-09-23 23:46:40,2021-09-24 08:16:40,8.5,1
2,3,-11.7075223762504-55.2764082289962i,497.788971410415,-7.71183071207196-1.86600706045324i,2021-09-23 23:46:40,2021-09-24 08:16:40,8.5,1
2,3,-0.77847742490592+0.8395401049172i,30.2227588288246,-6.32960692008451-4.79182815270338i,2021-09-23 23:46:40,2021-09-24 08:16:40,8.5,1
