"stap_s","stap_t","gs","distance","ws","start","end","duration","n"
1,2,14.4696861797436-47.7989547025874i,1038.73005384141,9.4236721280953-16.721175474142i,2021-09-23 00:16:40,2021-09-23 20:46:40,20.5,1
2,3,4.5773032012174-39.5657218548977i,356.762316752703,-1.3176095742393-4.7342698496271i,2021-09-23 23:46:40,2021-09-24 08:16:40,8.5,1
3,4,19.1776206406627-20.6003618381728i,90.6083334569122,-2.37041850335071+0.78395357520569i,2021-09-25 00:16:40,2021-09-25 02:46:40,2.5,1
4,5,7.70715871649887-4.13097763281636i,46.7647888940594,-18.5411669917874-2.2289186312665i,2021-09-30 02:16:40,2021-09-30 05:16:40,3,1
5,6,-3.4769244383523+34.5716224830025i,400.803263406358,11.6930337099409+8.2304261824908i,2022-03-25 00:16:40,2022-03-25 11:16:40,11,1
6,7,0+17.2569595609901i,88.6340948437245,15.2518200248774-6.1720930649733i,2022-03-26 02:46:40,2022-03-26 06:46:40,4,1
7,8,-6.2089320471156+27.8541013269948i,90.8357067030344,17.2470548515818+6.337642805023i,2022-03-29 00:46:40,2022-03-29 03:16:40,2.5,1
8,9,-49.8553367700327+65.1465708827565i,224.270403330495,-25.9651861007782+46.1634542034893i,2022-03-31 01:46:40,2022-03-31 04:16:40,2.5,1
9,10,-33.7309707454745+58.4156496778417i,153.905549119861,-7.9725140268029+41.2013064229274i,2022-03-31 07:16:40,2022-03-31 09:16:40,2,1
10,11,-11.6349509302245+37.7829003756089i,255.515113499732,14.1689330063594+11.8168967214816i,2022-04-06 00:46:40,2022-04-06 06:46:40,6,1
11,12,-11.4589358854032+48.9359450269818i,319.523993725873,19.8851170013519+29.1985603883715i,2022-04-11 01:46:40,2022-04-11 07:46:40,6,1
