"stap_id","start","end","known_lon","known_lat","include","alt_mean","alt_med","alt_min","alt_max"
2,2021-09-23 20:46:40,2021-09-23 23:46:40,NA,NA,TRUE,-8.7,-9,-11,-5.9
3,2021-09-24 08:16:40,2021-09-25 00:16:40,NA,NA,TRUE,-7.5,-7.5,-14.1,-0.9
4,2021-09-25 02:46:40,2021-09-26 02:46:40,NA,NA,TRUE,159.4,160.1,139.3,178.7
5,2021-09-26 03:16:40,2021-09-29 04:16:40,NA,NA,TRUE,285.9,285.7,249.4,368.1
7,2022-03-25 11:16:40,2022-03-26 02:46:40,NA,NA,TRUE,-1.4,-1.1,-6.7,11.4
8,2022-03-26 06:46:40,2022-03-29 00:46:40,NA,NA,TRUE,4.7,2.8,-5,107.6
9,2022-03-29 03:16:40,2022-03-31 01:46:40,NA,NA,TRUE,2.2,1.4,-5.9,102.5
10,2022-03-31 04:16:40,2022-03-31 07:16:40,NA,NA,TRUE,-1.9,-2,-6.2,0.9
11,2022-03-31 09:16:40,2022-04-06 00:46:40,NA,NA,TRUE,28.7,28.2,2.2,142.1
12,2022-04-06 06:46:40,2022-04-11 01:46:40,NA,NA,TRUE,134.4,136.4,93,476.7
13,2022-04-11 07:46:40,2022-06-09 04:46:40,-84.1793,35.28581,TRUE,595.8,592.3,557.6,660.9
