"stap_id","start","end","known_lon","known_lat","include","alt_mean","alt_med","alt_min","alt_max"
2,2021-09-25 07:26:02,2021-09-29 03:26:02,NA,NA,TRUE,2.2,2.4,-4.5,8.7
3,2021-09-29 09:56:02,2021-10-03 02:26:02,NA,NA,TRUE,43.3,43.2,-35.7,65.1
4,2021-10-03 05:56:02,2021-10-04 04:26:02,NA,NA,TRUE,27.3,24.2,14.9,44.1
5,2021-10-04 07:56:02,2021-10-05 04:26:02,NA,NA,TRUE,67.9,67.9,62.2,73.2
7,2022-03-31 09:56:02,2022-04-01 00:56:02,NA,NA,TRUE,6.8,6.9,-3.4,22
8,2022-04-01 03:56:02,2022-04-02 01:56:02,NA,NA,TRUE,-9.3,-8.3,-17.1,-1.3
9,2022-04-02 03:56:02,2022-04-05 00:26:02,NA,NA,TRUE,-3.4,-3.8,-17.6,6.1
10,2022-04-05 06:26:02,2022-05-21 04:56:02,-80.35476,33.219626,TRUE,3.5,-2.9,-147.9,154.7
