"stap_s","stap_t","gs","distance","ws","start","end","duration","n","as"
1,2,-6.4607354356435-35.4024875053986i,1137.57328608676,-6.50583995939382-7.74071244670205i,2021-09-23 23:56:02,2021-09-25 07:26:02,31.5,1,27.6618118317653
2,3,6.30113861104613+0.01294437361468i,61.4680714229749,-21.1429189532063-3.0457680547797i,2021-09-29 03:26:02,2021-09-29 09:56:02,6.5,1,27.6139822790849
3,4,-9.3569622490439-20.0983635867893i,97.6607027601307,-35.5533314849085-8.1780158155999i,2021-10-03 02:26:02,2021-10-03 05:56:02,3.5,1,28.7809737869978
4,5,-13.6381588029216+14.7473691276705i,90.6679954735135,-30.9396765303254-6.8295998134948i,2021-10-04 04:26:02,2021-10-04 07:56:02,3.5,1,27.6569720750424
5,6,1.89126144174781+2.04571885063857i,30.1828348755492,-24.0270751217543+0.3288912898881i,2021-10-05 04:26:02,2021-10-05 07:56:02,3.5,1,25.9751355548402
6,7,-8.9254356746029+81.4438203311833i,713.555430384532,-26.3081364873447+52.1414239232579i,2022-03-31 01:26:02,2022-03-31 09:56:02,8.5,1,34.0703496135935
7,8,28.5781214796266+46.5128117864462i,182.640846614764,23.6159583609396+19.7735897413496i,2022-04-01 00:56:02,2022-04-01 03:56:02,3,1,27.1957544185382
8,9,29.1172392612172-8.3197887726406i,79.708314191192,5.60946377725301+5.3862311457515i,2022-04-02 01:56:02,2022-04-02 03:56:02,2,1,27.2115874253567
9,10,16.1929100108607+41.846984502487i,299.627649903177,-7.8515852699643+31.7609393380789i,2022-04-05 00:26:02,2022-04-05 06:56:02,6.5,1,26.0742413191275
