"stap_id","j","ind","lat","lon","start","end","include","known"
1,1,19634,33.219626,-80.35476,2021-06-15 16:56:02,2021-09-23 23:56:02,TRUE,TRUE
2,1,17685,23.1,-82.3,2021-09-25 07:26:02,2021-09-29 03:26:02,TRUE,FALSE
3,1,18285,23.1,-81.7,2021-09-29 09:56:02,2021-10-03 02:26:02,TRUE,FALSE
4,1,17889,22.3,-82.1,2021-10-03 05:56:02,2021-10-04 04:26:02,TRUE,FALSE
5,1,17286,22.9,-82.7,2021-10-04 07:56:02,2021-10-05 04:26:02,TRUE,FALSE
6,1,17485,23.1,-82.5,2021-10-05 07:56:02,2022-03-31 01:26:02,TRUE,FALSE
7,1,16854,29.3,-83.1,2022-03-31 09:56:02,2022-04-01 00:56:02,TRUE,FALSE
8,1,17647,30.7,-82.3,2022-04-01 03:56:02,2022-04-02 01:56:02,TRUE,FALSE
9,1,18445,31.1,-81.5,2022-04-02 03:56:02,2022-04-05 00:26:02,TRUE,FALSE
10,1,19634,33.219626,-80.35476,2022-04-05 06:26:02,2022-05-21 04:56:02,TRUE,TRUE
