"date","label","stap_id","altitude","lat","lon","stap_s","stap_t"
2021-06-15 17:08:39,"",1,11.4993647959945,32.76806,-80.44798,1,1
2021-06-15 17:38:39,"",1,13.0842486898147,32.76806,-80.44798,1,1
2021-06-15 18:08:39,"",1,14.9994033071949,32.76806,-80.44798,1,1
2021-06-15 18:38:39,"discard",1,14.6195833271006,32.76806,-80.44798,1,1
2021-06-15 19:08:39,"",1,6.2935553763664,32.76806,-80.44798,1,1
2021-06-15 19:38:39,"",1,-4.24776554041856,32.76806,-80.44798,1,1
2021-06-15 20:08:39,"",1,-0.296661477807177,32.76806,-80.44798,1,1
2021-06-15 20:38:39,"",1,-2.08682680553152,32.76806,-80.44798,1,1
2021-06-15 21:08:39,"",1,-1.3402650477751,32.76806,-80.44798,1,1
2021-06-15 21:38:39,"",1,5.15678192223267,32.76806,-80.44798,1,1
2021-06-15 22:08:39,"",1,5.36671357968718,32.76806,-80.44798,1,1
2021-06-15 22:38:39,"",1,5.70088478236391,32.76806,-80.44798,1,1
2021-06-15 23:08:39,"",1,1.55339208068898,32.76806,-80.44798,1,1
2021-06-15 23:38:39,"",1,5.43010160155045,32.76806,-80.44798,1,1
2021-06-16 00:08:39,"",1,0.462829683241942,32.76806,-80.44798,1,1
2021-06-16 00:38:39,"",1,-8.5755086462375,32.76806,-80.44798,1,1
2021-06-16 01:08:39,"",1,-13.8642864496961,32.76806,-80.44798,1,1
2021-06-16 01:38:39,"discard",1,-16.1113192100847,32.76806,-80.44798,1,1
2021-06-16 02:08:39,"",1,-8.212121393258,32.76806,-80.44798,1,1
2021-06-16 02:38:39,"",1,-2.0382407406195,32.76806,-80.44798,1,1
2021-06-16 03:08:39,"",1,-4.41632382450414,32.76806,-80.44798,1,1
2021-06-16 03:38:39,"",1,-5.83606529167017,32.76806,-80.44798,1,1
2021-06-16 04:08:39,"",1,-4.88567446912638,32.76806,-80.44798,1,1
2021-06-16 04:38:39,"",1,-3.73289652539655,32.76806,-80.44798,1,1
2021-06-16 05:08:39,"",1,-4.58611444615263,32.76806,-80.44798,1,1
2021-06-16 05:38:39,"",1,-9.301083366448,32.76806,-80.44798,1,1
2021-06-16 06:08:39,"",1,-10.0469013558709,32.76806,-80.44798,1,1
2021-06-16 06:38:39,"",1,-7.00355941990783,32.76806,-80.44798,1,1
2021-06-16 07:08:39,"",1,-5.71754448228548,32.76806,-80.44798,1,1
2021-06-16 07:38:39,"",1,-2.71844563964618,32.76806,-80.44798,1,1
2021-06-16 08:08:39,"",1,-1.22754816261589,32.76806,-80.44798,1,1
2021-06-16 08:38:39,"",1,-1.44005102005686,32.76806,-80.44798,1,1
2021-06-16 09:08:39,"",1,-4.14492369979218,32.76806,-80.44798,1,1
2021-06-16 09:38:39,"",1,-3.35206091051375,32.76806,-80.44798,1,1
2021-06-16 10:08:39,"",1,-5.95303703975909,32.76806,-80.44798,1,1
2021-06-16 10:38:39,"",1,-3.36795715179692,32.76806,-80.44798,1,1
2021-06-16 11:08:39,"",1,-4.26999658557736,32.76806,-80.44798,1,1
2021-06-16 11:38:39,"",1,-1.42616665971739,32.76806,-80.44798,1,1
2021-06-16 12:08:39,"",1,-2.99649528204373,32.76806,-80.44798,1,1
2021-06-16 12:38:39,"",1,-1.03512479340621,32.76806,-80.44798,1,1
2021-06-16 13:08:39,"",1,-4.76787793277317,32.76806,-80.44798,1,1
2021-06-16 13:38:39,"",1,-3.63999512420802,32.76806,-80.44798,1,1
2021-06-16 14:08:39,"",1,-3.92450722406392,32.76806,-80.44798,1,1
2021-06-16 14:38:39,"",1,-4.6536556251002,32.76806,-80.44798,1,1
2021-06-16 15:08:39,"",1,-5.56004227090732,32.76806,-80.44798,1,1
2021-06-16 15:38:39,"",1,-4.55881962022649,32.76806,-80.44798,1,1
2021-06-16 16:08:39,"",1,-4.3541473284114,32.76806,-80.44798,1,1
2021-06-16 16:38:39,"",1,-2.0923129107659,32.76806,-80.44798,1,1
2021-06-16 17:08:39,"",1,-1.41386660110595,32.76806,-80.44798,1,1
2021-06-16 17:38:39,"",1,-5.78891839644211,32.76806,-80.44798,1,1
2021-06-16 18:08:39,"",1,-4.26164638738164,32.76806,-80.44798,1,1
2021-06-16 18:38:39,"",1,-7.08656731624867,32.76806,-80.44798,1,1
2021-06-16 19:08:39,"",1,-3.79074800104975,32.76806,-80.44798,1,1
2021-06-16 19:38:39,"",1,5.82887884617122,32.76806,-80.44798,1,1
2021-06-16 20:08:39,"",1,7.01359444429195,32.76806,-80.44798,1,1
2021-06-16 20:38:39,"",1,4.53042407355996,32.76806,-80.44798,1,1
2021-06-16 21:08:39,"",1,5.15364050512639,32.76806,-80.44798,1,1
2021-06-16 21:38:39,"",1,-2.19984932703946,32.76806,-80.44798,1,1
2021-06-16 22:08:39,"",1,-1.03198817741237,32.76806,-80.44798,1,1
2021-06-16 22:38:39,"",1,-4.04895889015899,32.76806,-80.44798,1,1
2021-06-16 23:08:39,"",1,-4.96799394812057,32.76806,-80.44798,1,1
2021-06-16 23:38:39,"",1,2.6023640483576,32.76806,-80.44798,1,1
2021-06-17 00:08:39,"",1,-2.90268552310978,32.76806,-80.44798,1,1
2021-06-17 00:38:39,"",1,-1.1735081020886,32.76806,-80.44798,1,1
2021-06-17 01:08:39,"",1,0.445310087976102,32.76806,-80.44798,1,1
2021-06-17 01:38:39,"",1,6.14749439873171,32.76806,-80.44798,1,1
2021-06-17 02:08:39,"",1,1.77668226821262,32.76806,-80.44798,1,1
2021-06-17 02:38:39,"",1,-0.116802041705947,32.76806,-80.44798,1,1
2021-06-17 03:08:39,"",1,-0.655148796869057,32.76806,-80.44798,1,1
2021-06-17 03:38:39,"",1,-1.2260620924731,32.76806,-80.44798,1,1
2021-06-17 04:08:39,"",1,0.66843172072233,32.76806,-80.44798,1,1
2021-06-17 04:38:39,"",1,-0.211409761098729,32.76806,-80.44798,1,1
2021-06-17 05:08:39,"",1,2.21292980618138,32.76806,-80.44798,1,1
2021-06-17 05:38:39,"",1,-0.879346269154121,32.76806,-80.44798,1,1
2021-06-17 06:08:39,"",1,0.713297402565933,32.76806,-80.44798,1,1
2021-06-17 06:38:39,"",1,-2.27257921309359,32.76806,-80.44798,1,1
2021-06-17 07:08:39,"",1,-1.34218452352405,32.76806,-80.44798,1,1
2021-06-17 07:38:39,"",1,-2.23183382225995,32.76806,-80.44798,1,1
2021-06-17 08:08:39,"",1,-1.87176870681348,32.76806,-80.44798,1,1
2021-06-17 08:38:39,"",1,-1.46720728595738,32.76806,-80.44798,1,1
