"stap_id","j","ind","lat","lon","start","end","include","known"
1,1,19437,32.76806,-80.44798,2021-06-15 16:53:39,2021-08-06 16:53:39,TRUE,TRUE
2,1,19638,32.5,-80.3,2021-08-06 17:53:39,2021-09-23 23:53:39,TRUE,FALSE
3,1,18263,27.5,-81.7,2021-09-24 10:53:39,2021-09-24 23:53:39,TRUE,FALSE
4,1,17685,23.1,-82.3,2021-09-25 12:53:39,2021-09-26 00:53:39,TRUE,FALSE
5,1,18286,22.9,-81.7,2021-09-26 02:53:39,2022-04-02 00:53:39,TRUE,FALSE
6,1,18870,26.1,-81.1,2022-04-02 10:23:39,2022-04-04 00:53:39,TRUE,FALSE
7,1,19261,27.9,-80.7,2022-04-04 07:23:39,2022-04-05 00:23:39,TRUE,FALSE
8,1,19437,32.76806,-80.44798,2022-04-05 09:23:39,2022-05-21 04:53:39,TRUE,TRUE
