"stap_s","stap_t","gs","distance","ws","start","end","duration","n"
1,2,6.71131348066189-7.91336377589086i,32.810570450679,5.442110078291+18.1100920721615i,2021-08-06 16:53:39,2021-08-06 17:53:39,1,1
2,3,-12.226669874664-48.8504223641414i,570.46648493678,-7.6863429950899-17.9344929069218i,2021-09-23 23:53:39,2021-09-24 10:53:39,11,1
3,4,-4.5653758731439-36.1561810514135i,491.149695046389,-9.41633253030545-1.40304495814405i,2021-09-24 23:53:39,2021-09-25 12:53:39,13,1
4,5,21.1427638034424-7.5638459661964i,65.3794430083153,-10.0825392650738-6.6488198093574i,2021-09-26 00:53:39,2021-09-26 02:53:39,2,1
5,6,5.991219639569+35.3761125388405i,359.627009466324,-8.06157925717996+8.32810631358556i,2022-04-02 00:53:39,2022-04-02 10:23:39,9.5,1
6,7,5.4908182453408+27.81254171325i,203.359026624645,-3.24934183018771-1.9335571627013i,2022-04-04 00:53:39,2022-04-04 07:23:39,6.5,1
7,8,2.0177478945811+57.1869302066298i,540.208670180459,-8.5433475379821+24.6068403125229i,2022-04-05 00:23:39,2022-04-05 09:23:39,9,1
