"stap_id","start","end","known_lon","known_lat","include","alt_mean","alt_med","alt_min","alt_max"
1,2021-06-15 16:53:39,2021-08-06 16:53:39,-80.44798,32.76806,TRUE,-7.4,-7.8,-41.8,48.8
2,2021-08-06 17:53:39,2021-09-23 23:53:39,NA,NA,TRUE,13.5,13.8,-124.5,35.2
3,2021-09-24 10:53:39,2021-09-24 23:53:39,NA,NA,TRUE,36.4,36.2,29.2,43.1
4,2021-09-25 12:53:39,2021-09-26 00:53:39,NA,NA,TRUE,69.2,69.7,62.5,74.5
6,2022-04-02 10:23:39,2022-04-04 00:53:39,NA,NA,TRUE,19.6,19.8,-0.6,39.7
7,2022-04-04 07:23:39,2022-04-05 00:23:39,NA,NA,TRUE,23.6,23.7,18.8,28.4
8,2022-04-05 09:23:39,2022-05-21 04:53:39,-80.44798,32.76806,TRUE,28.2,27.9,-28.1,52
