"stap_s","stap_t","gs","distance","ws","start","end","duration","n"
1,2,-11.569655452607-27.2339251591093i,57.0503623929306,3.0440118274836+15.3667940730529i,2021-08-06 16:53:39,2021-08-06 17:53:39,1,1
1,2,-18.73516912557+0.035330822294i,43.0360266729636,-0.8492491544601+10.7596592880743i,2021-08-06 16:53:39,2021-08-06 17:53:39,1,1
1,2,11.4614044959892+27.244332609345i,39.32867402995,-0.5519441444401+10.9924237539356i,2021-08-06 16:53:39,2021-08-06 17:53:39,1,1
1,2,11.4614044959892+27.244332609345i,39.32867402995,-0.5519441444401+10.9924237539356i,2021-08-06 16:53:39,2021-08-06 17:53:39,1,1
1,2,0-3.52850210942374i,30.1254197949802,3.4494864178757+16.3089510115979i,2021-08-06 16:53:39,2021-08-06 17:53:39,1,1
1,2,-21.3289844998162+12.6816086613832i,44.7797026958191,-2.81337839581267+9.86028296209454i,2021-08-06 16:53:39,2021-08-06 17:53:39,1,1
1,2,21.4513668334991-12.6164772633112i,44.1582924887033,7.6692914565771+19.0545671719743i,2021-08-06 16:53:39,2021-08-06 17:53:39,1,1
1,2,43.949645464055+52.4588643978892i,78.1078939881585,1.3998526376575+10.7438583240174i,2021-08-06 16:53:39,2021-08-06 17:53:39,1,1
1,2,-11.4614044959892+27.244332609345i,43.7119688614981,-3.86841652872652+8.94640056633325i,2021-08-06 16:53:39,2021-08-06 17:53:39,1,1
1,2,18.7351691255712+0.0353308222939i,33.4789760112548,5.1462943236215+15.7585633279172i,2021-08-06 16:53:39,2021-08-06 17:53:39,1,1
2,3,0-44.8409771085642i,509.922629837799,-5.870772837369-18.7370476222083i,2021-09-23 23:53:39,2021-09-24 10:53:39,11,1
2,3,1.7791885493684-63.0632961636523i,709.670333689294,-5.8406152600108-16.8243436725769i,2021-09-23 23:53:39,2021-09-24 10:53:39,11,1
2,3,-3.60990974957-77.2345938530656i,865.423964902469,-4.991498452433-13.9555337496503i,2021-09-23 23:53:39,2021-09-24 10:53:39,11,1
2,3,-3.4911736792161-48.8893911565531i,555.604381409105,-6.1141252613667-18.7502768947871i,2021-09-23 23:53:39,2021-09-24 10:53:39,11,1
2,3,0-57.0001888267409i,642.966517376907,-5.4558190964296-17.1859338167696i,2021-09-23 23:53:39,2021-09-24 10:53:39,11,1
2,3,-3.4902161658157-50.9206670169737i,577.742011149462,-6.6883478187879-18.7393149248931i,2021-09-23 23:53:39,2021-09-24 10:53:39,11,1
2,3,-15.6237346083307-44.7850896644607i,538.558859032931,-7.7559266807017-17.7467163896044i,2021-09-23 23:53:39,2021-09-24 10:53:39,11,1
2,3,-10.6226158880941-63.0320465916817i,718.817607634747,-6.4625273663664-17.642613058331i,2021-09-23 23:53:39,2021-09-24 10:53:39,11,1
