"stap_s","stap_t","gs","distance","ws","start","end","duration","n"
1,2,-13.3992090111975-15.429990091971i,17.831527276387,7.27334206512994+5.23544750842247i,2021-08-03 18:55:25,2021-08-03 19:25:25,0.5,1
2,3,6.8723684534921-57.0355833853222i,1048.29211133678,-9.3267066136073-25.4624248464647i,2021-09-23 00:25:25,2021-09-23 18:25:25,18,1
3,4,16.7878137086885-20.1352555135331i,229.802983286328,-9.38711674348759-6.90527584610637i,2021-09-24 00:25:25,2021-09-24 08:25:25,8,1
4,5,6.0677795163085-12.7469136500688i,49.0245129159144,-20.0429341068393-8.8801524003099i,2022-03-14 01:25:25,2022-03-14 03:25:25,2,1
5,6,21.4961735908749+40.9196358646594i,1264.31208593707,-8.1841305868647+31.2387536126225i,2022-03-23 00:55:25,2022-03-24 03:55:25,27,1
6,7,-33.2873279186709+39.0963930075683i,352.53461018204,-9.8886257240611+55.1726376253943i,2022-03-31 00:55:25,2022-03-31 07:25:25,6.5,1
7,8,-18.1024846000055-7.725662938835i,166.65596648647,14.8679504364919-13.0561648131018i,2022-04-01 03:25:25,2022-04-01 10:55:25,7.5,1
8,9,-38.4313978421584-5.2744606950845i,155.033198943421,-8.6696800679258-10.5366008620585i,2022-04-02 02:55:25,2022-04-02 06:25:25,3.5,1
9,10,-38.3121023679669+4.7738073825057i,193.07578762839,-11.4972649425767+4.8986564665156i,2022-04-04 01:25:25,2022-04-04 05:55:25,4.5,1
10,11,-24.0750839983825-4.505389942927i,117.196560762909,-22.0296612850877+23.1526281592386i,2022-04-05 00:55:25,2022-04-05 04:55:25,4,1
11,12,0+0i,15.5151668908633,7.3623053303568+25.5868119507048i,2022-04-06 02:55:25,2022-04-06 05:55:25,3,1
