"stap_id","j","ind","lat","lon","start","end","include","known"
1,1,8648,30.41565,-91.37109,2021-06-15 04:55:25,2021-08-03 18:55:25,TRUE,TRUE
2,1,8449,30.3,-91.5,2021-08-03 19:25:25,2021-09-23 00:25:25,TRUE,FALSE
3,1,9696,20.9,-90.3,2021-09-23 18:25:25,2021-09-24 00:25:25,TRUE,FALSE
4,1,11104,19.3,-88.9,2021-09-24 08:25:25,2022-03-14 01:25:25,TRUE,FALSE
5,1,11306,18.9,-88.7,2022-03-14 03:25:25,2022-03-23 00:55:25,TRUE,FALSE
6,1,17256,28.9,-82.7,2022-03-24 03:55:25,2022-03-31 00:55:25,TRUE,FALSE
7,1,14844,31.3,-85.1,2022-03-31 07:25:25,2022-04-01 03:25:25,TRUE,FALSE
8,1,13247,30.7,-86.7,2022-04-01 10:55:25,2022-04-02 02:55:25,TRUE,FALSE
9,1,11648,30.5,-88.3,2022-04-02 06:25:25,2022-04-04 01:25:25,TRUE,FALSE
10,1,9647,30.7,-90.3,2022-04-04 05:55:25,2022-04-05 00:55:25,TRUE,FALSE
11,1,8448,30.5,-91.5,2022-04-05 04:55:25,2022-04-06 02:55:25,TRUE,FALSE
12,1,8648,30.41565,-91.37109,2022-04-06 05:55:25,2022-05-03 04:55:25,TRUE,TRUE
