"stap_s","stap_t","gs","distance","ws","start","end","duration","n"
1,2,0-6.16117306116922i,14.5286768201317,7.16036980116504+4.87370058821952i,2021-08-03 18:55:25,2021-08-03 19:25:25,0.5,1
1,2,0-6.16117306116922i,14.5286768201317,7.16036980116504+4.87370058821952i,2021-08-03 18:55:25,2021-08-03 19:25:25,0.5,1
1,2,0-6.16117306116922i,14.5286768201317,7.16036980116504+4.87370058821952i,2021-08-03 18:55:25,2021-08-03 19:25:25,0.5,1
1,2,13.3992090112004-15.4299900919727i,29.0448922053171,7.07820174644182+4.11204443535095i,2021-08-03 18:55:25,2021-08-03 19:25:25,0.5,1
1,2,13.3992090112004-15.4299900919727i,29.0448922053171,7.07820174644182+4.11204443535095i,2021-08-03 18:55:25,2021-08-03 19:25:25,0.5,1
1,2,0+6.16117306116922i,32.2529917375423,4.6776116273421+4.74428441285903i,2021-08-03 18:55:25,2021-08-03 19:25:25,0.5,1
1,2,-13.3992090111975-15.429990091971i,17.831527276387,7.27334206512994+5.23544750842247i,2021-08-03 18:55:25,2021-08-03 19:25:25,0.5,1
1,2,-13.3992090111975-15.429990091971i,17.831527276387,7.27334206512994+5.23544750842247i,2021-08-03 18:55:25,2021-08-03 19:25:25,0.5,1
1,2,-13.3992090111975-15.429990091971i,17.831527276387,7.27334206512994+5.23544750842247i,2021-08-03 18:55:25,2021-08-03 19:25:25,0.5,1
1,2,-13.3992090111975-15.429990091971i,17.831527276387,7.27334206512994+5.23544750842247i,2021-08-03 18:55:25,2021-08-03 19:25:25,0.5,1
2,3,20.9579729267563-67.9153335137885i,1292.74248792379,-6.5099339208736-21.4404958985505i,2021-09-23 00:25:25,2021-09-23 18:25:25,18,1
2,3,12.5516973763739-54.4922718458804i,1021.11195930873,-8.7774660291829-24.6061605092408i,2021-09-23 00:25:25,2021-09-23 18:25:25,18,1
2,3,12.5762013535265-55.7284091710083i,1042.78122754678,-8.5473982222268-24.4026676286893i,2021-09-23 00:25:25,2021-09-23 18:25:25,18,1
2,3,37.4802131900189-49.9851294353142i,1140.41410446742,-9.2887097500125-23.0831757021034i,2021-09-23 00:25:25,2021-09-23 18:25:25,18,1
2,3,5.7867339570826-65.7062865371759i,1200.62812735063,-8.0225676642491-23.9536838615589i,2021-09-23 00:25:25,2021-09-23 18:25:25,18,1
2,3,6.9365635203041-63.2191539661585i,1158.38630037465,-7.9091778833064-23.6379297051656i,2021-09-23 00:25:25,2021-09-23 18:25:25,18,1
2,3,6.9365635203041-63.2191539661585i,1158.38630037465,-7.9091778833064-23.6379297051656i,2021-09-23 00:25:25,2021-09-23 18:25:25,18,1
2,3,4.6489560175329-66.9467783846155i,1221.16211824848,-7.5547086886305-23.0721833131904i,2021-09-23 00:25:25,2021-09-23 18:25:25,18,1
2,3,-7.0555869832319-75.5870252855544i,1378.83064273984,-6.9513530491993-21.6684750539967i,2021-09-23 00:25:25,2021-09-23 18:25:25,18,1
2,3,8.121548131604-65.6814278213794i,1204.64608869243,-7.6993756505493-23.0622905247254i,2021-09-23 00:25:25,2021-09-23 18:25:25,18,1
3,4,-13.9098969138278+14.7903503229941i,182.960717798541,-10.6514764333138-4.2661285802278i,2021-09-24 00:25:25,2021-09-24 08:25:25,8,1
3,4,7.131552806923-22.5468453259278i,208.8853933964,-9.47046766848222-6.69179706303028i,2021-09-24 00:25:25,2021-09-24 08:25:25,8,1
3,4,4.8966987548466-30.8203940277298i,268.968242978216,-9.54527792622207-7.52138538854148i,2021-09-24 00:25:25,2021-09-24 08:25:25,8,1
3,4,-50.2409357201118-28.5420837528754i,482.394523243578,-11.0582749291542-6.1171408704016i,2021-09-24 00:25:25,2021-09-24 08:25:25,8,1
3,4,17.9511823831217-50.3033474361913i,445.94351010329,-3.94842251765124-9.73866067200762i,2021-09-24 00:25:25,2021-09-24 08:25:25,8,1
3,4,23.5355157560494+2.6316937340192i,210.460651735754,-8.86483240822715-7.51086394322358i,2021-09-24 00:25:25,2021-09-24 08:25:25,8,1
3,4,28.8914901886899+0.2000243094404i,252.242493525168,-9.0988284804843-10.1333691304984i,2021-09-24 00:25:25,2021-09-24 08:25:25,8,1
3,4,15.5272323243894-58.6187706357368i,503.333763989311,-2.7911181426049-10.6596248657679i,2021-09-24 00:25:25,2021-09-24 08:25:25,8,1
3,4,35.1720655680032-20.5538560057767i,346.627830084962,2.5200372172046-10.7350921588176i,2021-09-24 00:25:25,2021-09-24 08:25:25,8,1
3,4,23.6096722402372+0.1375646722824i,209.9458717763,-8.02415626796703-8.36172111237852i,2021-09-24 00:25:25,2021-09-24 08:25:25,8,1
4,5,0-34.0872166972098i,88.5624452472171,-18.8131789809527-15.9024479812366i,2022-03-14 01:25:25,2022-03-14 03:25:25,2,1
4,5,-22.894240799726+16.1757471415383i,76.9280211874204,-21.8806453514276-13.0574180935982i,2022-03-14 01:25:25,2022-03-14 03:25:25,2,1
