"stap_id","start","end","known_lon","known_lat","include","alt_mean","alt_med","alt_min","alt_max"
1,2021-06-15 04:55:25,2021-08-03 18:55:25,-91.37109,30.41565,TRUE,-7.5,-7.4,-49.6,47.6
3,2021-09-23 18:25:25,2021-09-24 00:25:25,NA,NA,TRUE,-23.4,-23,-27.8,-17.7
5,2022-03-14 03:25:25,2022-03-23 00:55:25,NA,NA,TRUE,52.7,52.7,44.5,64.4
6,2022-03-24 03:55:25,2022-03-31 00:55:25,NA,NA,TRUE,-16.9,-17.2,-28.9,4.4
7,2022-03-31 07:25:25,2022-04-01 03:25:25,NA,NA,TRUE,18.4,18.8,3.4,28.8
8,2022-04-01 10:55:25,2022-04-02 02:55:25,NA,NA,TRUE,-9.8,-9.5,-13.7,-7.1
9,2022-04-02 06:25:25,2022-04-04 01:25:25,NA,NA,TRUE,-17.2,-17.1,-25.8,-3
10,2022-04-04 05:55:25,2022-04-05 00:55:25,NA,NA,TRUE,22.8,22.6,17.6,41.5
11,2022-04-05 04:55:25,2022-04-06 02:55:25,NA,NA,TRUE,-2.3,-2.7,-11.7,7.6
12,2022-04-06 05:55:25,2022-05-03 04:55:25,-91.37109,30.41565,TRUE,-18,-18.1,-50.4,32.4
