"stap_id","j","ind","lat","lon","start","end","include","known"
1,1,8648,30.41899,-91.36418,2021-06-15 05:01:06,2021-09-23 00:31:06,TRUE,TRUE
2,1,10894,21.3,-89.1,2021-09-23 21:01:06,2021-09-24 02:01:06,TRUE,FALSE
3,1,9500,20.1,-90.5,2021-09-24 06:31:06,2021-09-25 02:31:06,TRUE,FALSE
4,1,9503,19.5,-90.5,2021-09-25 04:01:06,2022-03-29 01:31:06,TRUE,FALSE
5,1,8848,30.5,-91.1,2022-03-29 19:01:06,2022-03-30 03:01:06,TRUE,FALSE
6,1,8246,30.9,-91.7,2022-03-30 04:01:06,2022-03-31 02:31:06,TRUE,FALSE
7,1,8447,30.7,-91.5,2022-03-31 07:01:06,2022-04-02 04:31:06,TRUE,FALSE
8,1,8648,30.41899,-91.36418,2022-04-02 06:31:06,2022-04-26 05:01:06,TRUE,TRUE
