"stap_s","stap_t","gs","distance","ws","start","end","duration","n"
1,2,11.0277797426592-48.9336186527584i,1035.35666554772,-10.7837179338031-26.2140070780329i,2021-09-23 00:31:06,2021-09-23 21:01:06,20.5,1
2,3,-29.1905402539555-26.358767000658i,197.283803151146,-11.4753656580011-7.5904988156627i,2021-09-24 02:01:06,2021-09-24 06:31:06,4.5,1
3,4,0-30.5891333648853i,66.4210861288671,-12.1290028091728-3.2480781879464i,2021-09-25 02:31:06,2021-09-25 04:01:06,1.5,1
4,5,-3.2708394018081+68.7802808771555i,1220.0229054999,-19.2172660222073+40.6225927918138i,2022-03-29 01:31:06,2022-03-29 19:01:06,17.5,1
5,6,-42.2618164219314+32.7844905810098i,72.5988448583457,-14.0822740727638+27.9097392535232i,2022-03-30 03:01:06,2022-03-30 04:01:06,1,1
6,7,1.48931083117721-1.72215834670216i,29.2918559987353,27.9510071097389-0.0052251957015i,2022-03-31 02:31:06,2022-03-31 07:01:06,4.5,1
7,8,3.35037992203144-3.86614000712893i,33.7687039290825,-21.4746501471677+4.9984934988008i,2022-04-02 04:31:06,2022-04-02 06:31:06,2,1
