"stap_s","stap_t","gs","distance","ws","start","end","duration","n"
1,2,4.1321323683814-67.47247490771i,1389.40761620575,-6.6848146577916-22.6972760147608i,2021-09-23 00:31:06,2021-09-23 21:01:06,20.5,1
1,2,7.0708712424208-53.3296758412212i,1108.62265858066,-9.2606787409389-25.4300541629626i,2021-09-23 00:31:06,2021-09-23 21:01:06,20.5,1
1,2,7.0708712424208-53.3296758412212i,1108.62265858066,-9.2606787409389-25.4300541629626i,2021-09-23 00:31:06,2021-09-23 21:01:06,20.5,1
1,2,3.0736316666505-62.0478097262105i,1277.72231534057,-7.3401392479786-23.5747709658213i,2021-09-23 00:31:06,2021-09-23 21:01:06,20.5,1
1,2,4.1050917430245-63.1284071139333i,1301.0320684541,-7.0388107474646-23.1540736385177i,2021-09-23 00:31:06,2021-09-23 21:01:06,20.5,1
1,2,8.0659875573871-52.2326371735221i,1089.55606171804,-9.8913757141127-25.6973685139302i,2021-09-23 00:31:06,2021-09-23 21:01:06,20.5,1
1,2,9.0913144442657-53.3056607855413i,1114.65391476528,-9.3254746271454-24.7176466286062i,2021-09-23 00:31:06,2021-09-23 21:01:06,20.5,1
1,2,1.0227979360698-60.9679549171425i,1254.10673755123,-7.5203061639675-24.605274357242i,2021-09-23 00:31:06,2021-09-23 21:01:06,20.5,1
1,2,4.0912023894394-60.9563879565436i,1256.85040818588,-7.4208032516275-23.6596838848227i,2021-09-23 00:31:06,2021-09-23 21:01:06,20.5,1
1,2,4.0478896729799-54.4404080198043i,1124.33789609718,-9.2009547204694-26.1179932817266i,2021-09-23 00:31:06,2021-09-23 21:01:06,20.5,1
2,3,0+0i,0,-0.4338081774968-11.854622018444i,2021-09-24 02:01:06,2021-09-24 06:31:06,4.5,1
2,3,-30.1706169839753-40.57886209293i,247.533978213983,-9.1988898282154-12.8871254367304i,2021-09-24 02:01:06,2021-09-24 06:31:06,4.5,1
2,3,10.2087368416863+7.1852809971921i,77.1153798321533,-7.9586256300466-12.1536332798032i,2021-09-24 02:01:06,2021-09-24 06:31:06,4.5,1
2,3,0+24.9988220729314i,132.834854289789,-8.9406903462206-13.8348035773683i,2021-09-24 02:01:06,2021-09-24 06:31:06,4.5,1
2,3,-3.2809682334323-10.4175112924446i,69.6287550897461,-10.9450335700093-8.7666195883629i,2021-09-24 02:01:06,2021-09-24 06:31:06,4.5,1
2,3,-4.1612788947321-34.9724420757642i,178.357780977523,-9.88524000076665-9.24366298754353i,2021-09-24 02:01:06,2021-09-24 06:31:06,4.5,1
2,3,-7.7321567726727-20.3753740468734i,118.353468119374,-10.0284573492893-9.201576565151i,2021-09-24 02:01:06,2021-09-24 06:31:06,4.5,1
2,3,-21.0213826591557-30.6452630920208i,187.55358664275,-0.4703186029202-8.94544017140636i,2021-09-24 02:01:06,2021-09-24 06:31:06,4.5,1
2,3,5.21651115990454+2.75301915242394i,47.5362505490749,-8.5587502021162-11.8717656327851i,2021-09-24 02:01:06,2021-09-24 06:31:06,4.5,1
2,3,-8.3510892733722-35.0427823412549i,182.02584863614,-8.7911617605504-11.9304070337695i,2021-09-24 02:01:06,2021-09-24 06:31:06,4.5,1
3,4,-20.8449441179093-32.5272801680192i,78.8176639068135,-0.5041602780157-5.86717312150823i,2021-09-25 02:31:06,2021-09-25 04:01:06,1.5,1
3,4,32.4872270230363+34.2697151421788i,91.6626338070829,-11.0568872662001-8.9463697243075i,2021-09-25 02:31:06,2021-09-25 04:01:06,1.5,1
3,4,9.820732283702+31.1516830153321i,69.6548171103482,-4.56526585287134-0.84289639486563i,2021-09-25 02:31:06,2021-09-25 04:01:06,1.5,1
3,4,-11.5139742892494-60.4792679827472i,112.672578484203,-11.6350246277117-3.8800236380084i,2021-09-25 02:31:06,2021-09-25 04:01:06,1.5,1
3,4,28.6547912695899+10.1757384926195i,66.5025917706564,-8.11071365447387-0.82254900438052i,2021-09-25 02:31:06,2021-09-25 04:01:06,1.5,1
3,4,-9.8362640460649+31.1220500906612i,69.6675159210103,-5.65121480000141-3.18874052550217i,2021-09-25 02:31:06,2021-09-25 04:01:06,1.5,1
3,4,-30.5256543996352+21.5676628553848i,76.9280211874204,-7.84417175348909+0.81258504834649i,2021-09-25 02:31:06,2021-09-25 04:01:06,1.5,1
3,4,28.279825833498+0.0450194469492i,63.6495440121875,6.92755167306261+4.61503454041876i,2021-09-25 02:31:06,2021-09-25 04:01:06,1.5,1
3,4,-20.7236241455461-32.5974516197661i,78.6434199467947,-4.65662148407053-4.19119505625853i,2021-09-25 02:31:06,2021-09-25 04:01:06,1.5,1
3,4,-9.9154498527453-31.1004815773913i,69.6922375274627,-7.72307457642695-5.27082355596578i,2021-09-25 02:31:06,2021-09-25 04:01:06,1.5,1
4,5,4.4188426219049+76.4028119418234i,1353.63852194492,-22.8467040111512+34.8674001743957i,2022-03-29 01:31:06,2022-03-29 19:01:06,17.5,1
4,5,2.1749501800486+72.59137671295i,1285.64085778378,-19.3985077454711+39.7126013740649i,2022-03-29 01:31:06,2022-03-29 19:01:06,17.5,1
