"stap_id","j","ind","lat","lon","start","end","include","known"
1,1,15823,35.43926,-84.0492,2021-06-15 17:11:27,2021-09-22 00:41:27,TRUE,TRUE
2,1,16827,34.7,-83.1,2021-09-22 07:41:27,2021-09-23 00:11:27,TRUE,FALSE
3,1,17459,28.3,-82.5,2021-09-23 10:41:27,2021-09-23 23:41:27,TRUE,FALSE
4,1,18271,25.9,-81.7,2021-09-24 06:41:27,2021-09-24 10:41:27,TRUE,FALSE
5,1,17685,23.1,-82.3,2021-09-24 18:41:27,2021-09-25 00:11:27,TRUE,FALSE
6,1,18686,22.9,-81.3,2021-09-25 04:41:27,2022-03-23 00:41:27,TRUE,FALSE
7,1,17055,29.1,-82.9,2022-03-23 11:11:27,2022-03-24 04:11:27,TRUE,FALSE
8,1,17447,30.7,-82.5,2022-03-24 08:11:27,2022-04-06 01:41:27,TRUE,FALSE
9,1,17237,32.7,-82.7,2022-04-06 07:11:27,2022-04-08 02:11:27,TRUE,FALSE
10,1,17236,32.9,-82.7,2022-04-08 03:41:27,2022-04-11 01:11:27,TRUE,FALSE
11,1,15823,35.43926,-84.0492,2022-04-11 10:11:27,2022-06-04 05:11:27,TRUE,TRUE
