"stap_s","stap_t","gs","distance","ws","start","end","duration","n"
1,2,11.238518591525-10.8301909533724i,119.254970236605,1.9371962487816+13.9583652581216i,2021-09-22 00:41:27,2021-09-22 07:41:27,7,1
2,3,5.4943668042572-66.0966010469653i,711.903859952205,9.6982856013554-36.6705067507307i,2021-09-23 00:11:27,2021-09-23 10:41:27,10.5,1
3,4,10.6939739655344-35.4320999622505i,277.510761336896,-4.03365279276795-9.81719064238239i,2021-09-23 23:41:27,2021-09-24 06:41:27,7,1
4,5,-7.2362933000447-36.4811440015481i,316.047754552744,-5.38787236019561+0.16129682129899i,2021-09-24 10:41:27,2021-09-24 18:41:27,8,1
5,6,18.3420656393258-3.897072275143i,104.887476056249,-7.79135985684924+1.43882576960114i,2021-09-25 00:11:27,2021-09-25 04:41:27,4.5,1
6,7,-14.4968636874282+63.8964416237953i,705.290437980261,-28.0314353032519+38.596808724924i,2022-03-23 00:41:27,2022-03-23 11:11:27,10.5,1
7,8,8.592883019962+39.7804857914984i,181.519549035178,20.9083694472034+15.2867072326776i,2022-03-24 04:11:27,2022-03-24 08:11:27,4,1
8,9,-3.130450428005+37.0132038602374i,222.572096730509,19.4322690400394+15.5430328207102i,2022-04-06 01:41:27,2022-04-06 07:11:27,5.5,1
9,10,0+2.35233473961677i,22.1801809680292,32.0782709079866+3.2463614561936i,2022-04-08 02:11:27,2022-04-08 03:41:27,1.5,1
10,11,-13.3217955129626+30.3288913316446i,307.905325451578,15.6403443781502+19.1910163587897i,2022-04-11 01:11:27,2022-04-11 10:11:27,9,1
