"stap_id","j","ind","lat","lon","start","end","include","known"
1,1,15823,35.43926,-84.0492,2021-06-15 17:04:12,2021-08-03 15:34:12,TRUE,TRUE
2,1,15825,35.1,-84.1,2021-08-03 16:34:12,2021-08-30 21:04:12,TRUE,FALSE
3,1,15425,35.1,-84.5,2021-08-30 22:04:12,2021-09-23 00:04:12,TRUE,FALSE
4,1,19058,28.5,-80.9,2021-09-23 11:04:12,2021-09-23 23:34:12,TRUE,FALSE
5,1,19275,25.1,-80.7,2021-09-24 07:04:12,2021-09-24 11:04:12,TRUE,FALSE
6,1,18687,22.7,-81.3,2021-09-24 18:04:12,2021-09-25 00:04:12,TRUE,FALSE
7,1,19691,21.9,-80.3,2021-09-25 04:04:12,2021-10-03 21:04:12,TRUE,FALSE
8,1,19890,22.1,-80.1,2021-10-03 22:04:12,2021-10-12 15:04:12,TRUE,FALSE
9,1,19691,21.9,-80.3,2021-10-12 15:34:12,2021-10-29 16:04:12,TRUE,FALSE
10,1,19690,22.1,-80.3,2021-10-29 17:04:12,2021-11-10 18:04:12,TRUE,FALSE
11,1,19891,21.9,-80.1,2021-11-10 18:34:12,2022-01-28 23:04:12,TRUE,FALSE
12,1,19690,22.1,-80.3,2022-01-28 23:34:12,2022-02-10 23:04:12,TRUE,FALSE
13,1,19089,22.3,-80.9,2022-02-11 00:34:12,2022-03-31 00:34:12,TRUE,FALSE
14,1,17252,29.7,-82.7,2022-03-31 10:04:12,2022-04-06 00:34:12,TRUE,FALSE
15,1,16649,30.3,-83.3,2022-04-06 04:04:12,2022-04-12 00:34:12,TRUE,FALSE
16,1,16622,35.7,-83.3,2022-04-12 12:34:12,2022-04-13 03:34:12,TRUE,FALSE
17,1,15823,35.43926,-84.0492,2022-04-13 06:04:12,2022-05-16 05:04:12,TRUE,TRUE
