"stap_s","stap_t","gs","distance","ws","start","end","duration","n"
1,2,38.1360459157781-40.0843766795072i,572.402989074304,-5.4757183163059-24.1610772285241i,2021-09-23 00:57:28,2021-09-23 10:57:28,10,1
1,2,-41.2535266423246-31.2265175411243i,524.622216121531,-7.338365323374-15.1084847735818i,2021-09-23 00:57:28,2021-09-23 10:57:28,10,1
1,2,21.8502291136697-44.8368223952395i,514.192801299728,-8.9690825713266-22.594776598237i,2021-09-23 00:57:28,2021-09-23 10:57:28,10,1
1,2,28.1539201392636-24.9843509334565i,396.857866555769,-2.0608751317335-21.8938628003322i,2021-09-23 00:57:28,2021-09-23 10:57:28,10,1
1,2,25.5950519304636-12.1252473739762i,306.77670760264,1.9674629255681-23.3737920046833i,2021-09-23 00:57:28,2021-09-23 10:57:28,10,1
1,2,29.6968767210672-20.6363932358545i,383.438354787979,-0.1499994419997-21.7422832408747i,2021-09-23 00:57:28,2021-09-23 10:57:28,10,1
1,2,17.8905455482693-36.02783478344i,418.063360738242,-7.1305428804529-21.835907348583i,2021-09-23 00:57:28,2021-09-23 10:57:28,10,1
1,2,25.3556507013006-7.9176565446646i,290.455254175125,2.5726383359917-24.4308618703714i,2021-09-23 00:57:28,2021-09-23 10:57:28,10,1
1,2,35.1072441371504-20.5380869231123i,429.364952997435,0.1623000119455-21.67186202805i,2021-09-23 00:57:28,2021-09-23 10:57:28,10,1
1,2,7.265338173431-44.9563829043824i,467.670230858164,-12.4101579466517-21.5096402231436i,2021-09-23 00:57:28,2021-09-23 10:57:28,10,1
2,3,-5.4159316404513-40.9595501464608i,1273.070226253,-15.3344925416887-10.7331940100937i,2021-09-24 00:57:28,2021-09-25 07:27:28,30.5,1
2,3,25.4072496761359-48.2380555114274i,1675.30809541012,-13.0819072499775-4.3559046791678i,2021-09-24 00:57:28,2021-09-25 07:27:28,30.5,1
2,3,-0.6813006832253-42.4516686840826i,1307.58650058404,-14.9860696480336-10.867212467317i,2021-09-24 00:57:28,2021-09-25 07:27:28,30.5,1
2,3,-4.1129021364548-49.743301708361i,1533.77727089543,-14.1087681416079-10.5540155920682i,2021-09-24 00:57:28,2021-09-25 07:27:28,30.5,1
2,3,-3.4430431887417-54.8677324698092i,1687.33091344207,-13.6705107058166-10.8033353749985i,2021-09-24 00:57:28,2021-09-25 07:27:28,30.5,1
2,3,0.6955737540863-57.0664082690018i,1750.82425020014,-13.1676729100705-9.7631693370084i,2021-09-24 00:57:28,2021-09-25 07:27:28,30.5,1
2,3,2.0442486392926-44.64254212817i,1375.29365487878,-14.7385049201477-10.5562985618273i,2021-09-24 00:57:28,2021-09-25 07:27:28,30.5,1
2,3,0-57.8058060855571i,1773.15097530906,-12.9072471728713-11.0384051941319i,2021-09-24 00:57:28,2021-09-25 07:27:28,30.5,1
2,3,-3.4366653965613-51.9423567761954i,1598.76065103729,-13.392565034066-10.8364602773793i,2021-09-24 00:57:28,2021-09-25 07:27:28,30.5,1
2,3,4.0803855649202-41.7024443080518i,1290.79545704703,-15.7272365425307-10.2177381422436i,2021-09-24 00:57:28,2021-09-25 07:27:28,30.5,1
3,4,15.5359443359424+0.0397518678i,82.8960763845022,-10.66953488472+2.729033509576i,2021-09-27 02:27:28,2021-09-27 06:27:28,4,1
3,4,20.9977693614728+4.514419357588i,106.833640576851,-12.1797104350355-4.845077758396i,2021-09-27 02:27:28,2021-09-27 06:27:28,4,1
3,4,23.0981551011781-29.1594212447117i,169.070407173708,-10.937524193012-4.1182854628589i,2021-09-27 02:27:28,2021-09-27 06:27:28,4,1
3,4,21.6225614717788+13.8908321918085i,123.495439113852,-11.7909660679157+0.3355273474536i,2021-09-27 02:27:28,2021-09-27 06:27:28,4,1
3,4,17.4569352068156-18.3674707295469i,121.904128225511,-10.2689410616137-3.6367999412114i,2021-09-27 02:27:28,2021-09-27 06:27:28,4,1
3,4,0+22.5639615910843i,110.696915988742,-17.2886582489039-4.7864258404154i,2021-09-27 02:27:28,2021-09-27 06:27:28,4,1
3,4,16.1873843365862+8.6768949752665i,94.1826911671535,-11.2365251354354+0.4260919990501i,2021-09-27 02:27:28,2021-09-27 06:27:28,4,1
3,4,18.0881905708359+28.9523521716619i,156.886609159875,-11.4336615835555-4.1409704213929i,2021-09-27 02:27:28,2021-09-27 06:27:28,4,1
3,4,7.673915645338+12.2582733261056i,78.4299606486424,-11.4064871713215-3.5796954830594i,2021-09-27 02:27:28,2021-09-27 06:27:28,4,1
3,4,26.3935644141403-9.2396838503157i,132.623685120569,-11.8478549246669-1.2074869250484i,2021-09-27 02:27:28,2021-09-27 06:27:28,4,1
4,5,-5.2258446619778+69.218928789296i,1022.4023643239,-20.0906455543922+30.9716121171351i,2022-04-11 00:57:28,2022-04-11 15:27:28,14.5,1
4,5,-26.4233965499015+71.1387784858802i,1116.5586571077,-18.7268631839529+36.2556389736426i,2022-04-11 00:57:28,2022-04-11 15:27:28,14.5,1
4,5,-15.8622965274782+78.5378595754263i,1177.22138794059,-19.2246466885944+33.8619077929312i,2022-04-11 00:57:28,2022-04-11 15:27:28,14.5,1
4,5,-15.8514872347979+61.6803162290101i,939.936890516663,-19.9787594953665+37.5643086995979i,2022-04-11 00:57:28,2022-04-11 15:27:28,14.5,1
4,5,-18.5335894223729+77.0546098040542i,1164.73474431171,-16.7971426424869+36.7958389808128i,2022-04-11 00:57:28,2022-04-11 15:27:28,14.5,1
4,5,-18.5391532585696+72.4571816055715i,1100.35393642707,-20.2799779967735+34.201436010918i,2022-04-11 00:57:28,2022-04-11 15:27:28,14.5,1
4,5,-23.7404728468112+61.8813137827199i,977.760376244981,-19.0335664085117+38.4936429066566i,2022-04-11 00:57:28,2022-04-11 15:27:28,14.5,1
4,5,-15.7669838195462+67.8167660304583i,1025.68515376695,-19.7941215011399+32.9786917998564i,2022-04-11 00:57:28,2022-04-11 15:27:28,14.5,1
4,5,-22.478082144709+63.3687724903747i,991.52396329001,-18.7172516147796+37.8265343668737i,2022-04-11 00:57:28,2022-04-11 15:27:28,14.5,1
4,5,-10.5585938407681+69.2593452970999i,1031.79287840398,-20.8276495863128+34.0528746426857i,2022-04-11 00:57:28,2022-04-11 15:27:28,14.5,1
5,6,-52.8210066447128+42.0273091319726i,288.87681837518,-4.8075970423135+51.0053682150628i,2022-04-12 02:27:28,2022-04-12 06:27:28,4,1
5,6,13.3399351995466+84.3069794453647i,359.365672878772,-3.8888380896331+49.7869618228026i,2022-04-12 02:27:28,2022-04-12 06:27:28,4,1
5,6,-8.7404465349539+56.4670156773939i,246.885660810506,-7.0433082032831+49.4406053362702i,2022-04-12 02:27:28,2022-04-12 06:27:28,4,1
5,6,-8.8946539480629+73.1161131664174i,312.775809175194,-8.2385151177217+49.9482948800628i,2022-04-12 02:27:28,2022-04-12 06:27:28,4,1
5,6,4.3977678269393+61.9715294397083i,266.768698441445,-6.121015137314+49.346950430978i,2022-04-12 02:27:28,2022-04-12 06:27:28,4,1
5,6,-21.4335911097199+34.8846088398345i,182.640846614764,-10.7778264901156+49.7194668476982i,2022-04-12 02:27:28,2022-04-12 06:27:28,4,1
5,6,4.4465470534254+78.6557744841811i,333.156500360341,-5.0861671791581+50.6630175494158i,2022-04-12 02:27:28,2022-04-12 06:27:28,4,1
5,6,-17.6929412877566+78.8386162469933i,341.189694091638,-5.0607429312126+51.4158908040141i,2022-04-12 02:27:28,2022-04-12 06:27:28,4,1
5,6,4.4634381197146+84.2113550086495i,355.291841586918,-6.553744770071+50.3385278554855i,2022-04-12 02:27:28,2022-04-12 06:27:28,4,1
5,6,-17.7945386579355+84.3728335955287i,362.877583187792,-7.6913302343421+50.4560270510626i,2022-04-12 02:27:28,2022-04-12 06:27:28,4,1
6,7,16.9935145148271+51.2380191670155i,233.996115086024,1.6363415048104+38.1196895904988i,2022-04-16 00:57:28,2022-04-16 04:57:28,4,1
6,7,15.9513762063889+23.9699060553327i,133.565995712777,2.0326624528824+40.3388830161474i,2022-04-16 00:57:28,2022-04-16 04:57:28,4,1
6,7,8.5751151226329+62.1323747758322i,268.777179985549,1.765768934822+37.4643795092701i,2022-04-16 00:57:28,2022-04-16 04:57:28,4,1
6,7,-4.2855276381794+62.0906548760798i,266.83443045617,3.7306585771837+34.7624907242544i,2022-04-16 00:57:28,2022-04-16 04:57:28,4,1
6,7,-8.5376833338565+56.5743741680079i,246.831043958363,3.4674814664193+34.7082004071416i,2022-04-16 00:57:28,2022-04-16 04:57:28,4,1
6,7,0+50.8837561313791i,221.770223419614,0.0394909107766+34.770730702614i,2022-04-16 00:57:28,2022-04-16 04:57:28,4,1
6,7,21.404947737133+62.4275532532315i,281.877180174706,5.6416097836736+37.7822106284097i,2022-04-16 00:57:28,2022-04-16 04:57:28,4,1
6,7,4.2504267441617+67.7071830777945i,289.002672210398,11.0971740969848+36.573760768383i,2022-04-16 00:57:28,2022-04-16 04:57:28,4,1
6,7,-21.332441748483+56.9041177157334i,261.064736647183,5.8270110376189+32.5702248233284i,2022-04-16 00:57:28,2022-04-16 04:57:28,4,1
6,7,-21.1430449849056+51.4102551782156i,240.346338667676,6.0689601473767+37.2834647825311i,2022-04-16 00:57:28,2022-04-16 04:57:28,4,1
7,8,-22.333298031599+6.8319319401443i,76.8322151420846,-30.1885857877787-17.2431528557171i,2022-04-17 01:57:28,2022-04-17 04:27:28,2.5,1
7,8,-29.5663644068645+0.1439103825608i,92.4925374654415,-19.6214295937939-3.8808166134839i,2022-04-17 01:57:28,2022-04-17 04:27:28,2.5,1
7,8,-51.970861641214-15.2097478831451i,153.829966609048,-32.0271000035778-17.726370617672i,2022-04-17 01:57:28,2022-04-17 04:27:28,2.5,1
7,8,-14.6784788262789+0.0435323067824i,55.1039080648093,-34.226297257465-17.4824702318921i,2022-04-17 01:57:28,2022-04-17 04:27:28,2.5,1
7,8,-7.35680994450173+0.01447147055936i,36.8234748064187,-33.6181347094711-16.3740012168617i,2022-04-17 01:57:28,2022-04-17 04:27:28,2.5,1
7,8,11.9966105499269+28.7258897280384i,96.2312761822162,-20.0608126053539-0.2720151065758i,2022-04-17 01:57:28,2022-04-17 04:27:28,2.5,1
7,8,8.35568559946145+5.10015479426907i,42.7278843779426,-27.4868804722617-23.0284411630106i,2022-04-17 01:57:28,2022-04-17 04:27:28,2.5,1
7,8,-40.0722892939631-56.0936053575666i,190.057834220357,-35.5665129414434-21.4973853576219i,2022-04-17 01:57:28,2022-04-17 04:27:28,2.5,1
7,8,-4.5785448341922-11.0297429388901i,48.0240121994052,-36.6639992945995-14.2760678972761i,2022-04-17 01:57:28,2022-04-17 04:27:28,2.5,1
7,8,0-37.223851771528i,110.929641918287,-33.5014691894191-16.2827371964492i,2022-04-17 01:57:28,2022-04-17 04:27:28,2.5,1
8,9,-11.4592221436715-27.5393562430343i,48.0394216091262,-22.5130064314132-11.1279487822531i,2022-04-17 05:57:28,2022-04-17 06:57:28,1,1
8,9,27.9046152429235+50.6093760198695i,76.0841567157493,-24.438470301259-13.6684588941289i,2022-04-17 05:57:28,2022-04-17 06:57:28,1,1
8,9,-36.8713792891441+0.1082368860138i,55.3657530787781,-16.3759807837594-8.2149435972348i,2022-04-17 05:57:28,2022-04-17 06:57:28,1,1
8,9,-41.0685667051971-32.7915925506192i,70.8497774494001,-17.462588909145-9.6117287631162i,2022-04-17 05:57:28,2022-04-17 06:57:28,1,1
8,9,-41.1518258919113-32.7804151422983i,70.9507248415249,-16.7859509260971-8.7703981337446i,2022-04-17 05:57:28,2022-04-17 06:57:28,1,1
8,9,-43.5167032880297+52.560088540927i,86.6133123233413,-20.6451267594075-11.5178610268415i,2022-04-17 05:57:28,2022-04-17 06:57:28,1,1
8,9,-55.305680544285+17.0878286374346i,76.1562482819116,-25.9906702802303-17.8152853606189i,2022-04-17 05:57:28,2022-04-17 06:57:28,1,1
8,9,-40.7211746058687+32.9899824405896i,70.7484044842362,-21.1793778473447-11.6852750920767i,2022-04-17 05:57:28,2022-04-17 06:57:28,1,1
8,9,25.2694050101129-30.2551975305161i,57.7151844641712,-17.9591874290065-9.5398518106613i,2022-04-17 05:57:28,2022-04-17 06:57:28,1,1
8,9,-56.0930980474878+17.0758474014832i,77.1652598456693,-16.9599603537666-9.5249675022456i,2022-04-17 05:57:28,2022-04-17 06:57:28,1,1
9,10,0+45.1657901287458i,283.055436838933,-11.5108549943836+26.7329129838616i,2022-04-20 01:57:28,2022-04-20 07:57:28,6,1
9,10,-8.3100958594772+37.8487850744886i,246.776211814458,-11.3913022214517+24.2136473927394i,2022-04-20 01:57:28,2022-04-20 07:57:28,6,1
9,10,19.6920696083428+45.5297973455804i,306.67312070798,-11.0064905596654+30.0329014211833i,2022-04-20 01:57:28,2022-04-20 07:57:28,6,1
9,10,16.8587616225245+45.4384842619281i,300.129678173288,-11.278825132976+29.9042761017497i,2022-04-20 01:57:28,2022-04-20 07:57:28,6,1
9,10,16.9266173768292+49.1190669824169i,321.164764204003,-11.2419352932332+29.8397105567205i,2022-04-20 01:57:28,2022-04-20 07:57:28,6,1
9,10,5.5706025602547+41.4980712479544i,262.174615970865,-11.5592829024031+28.3263056135662i,2022-04-20 01:57:28,2022-04-20 07:57:28,6,1
9,10,-7.9744241259632+23.1266705656836i,162.461424220586,-11.9235317966259+23.7534742027603i,2022-04-20 01:57:28,2022-04-20 07:57:28,6,1
9,10,13.7980838697796+34.3279811840791i,231.27475938393,-11.4888271144822+29.6182079564245i,2022-04-20 01:57:28,2022-04-20 07:57:28,6,1
9,10,8.4446250721526+48.9339543835679i,308.508757256235,-11.9076557478596+28.7332920202061i,2022-04-20 01:57:28,2022-04-20 07:57:28,6,1
9,10,14.0338825339788+45.3584659198491i,294.563259197527,-11.5215331676778+29.733354224363i,2022-04-20 01:57:28,2022-04-20 07:57:28,6,1
