"stap_id","j","ind","lat","lon","start","end","include","known"
1,1,17614,37.293076,-82.305835,2021-07-01 05:07:45,2021-10-01 00:07:45,TRUE,TRUE
2,1,18443,31.5,-81.5,2021-10-01 08:37:45,2021-10-02 00:07:45,TRUE,FALSE
3,1,17850,30.1,-82.1,2021-10-02 04:07:45,2021-10-02 10:37:45,TRUE,FALSE
4,1,18256,28.9,-81.7,2021-10-02 15:07:45,2021-10-03 00:07:45,TRUE,FALSE
5,1,17485,23.1,-82.5,2021-10-03 09:37:45,2021-10-04 00:07:45,TRUE,FALSE
6,1,17687,22.7,-82.3,2021-10-04 01:37:45,2021-10-04 10:07:45,TRUE,FALSE
7,1,17088,22.5,-82.9,2021-10-04 11:07:45,2021-10-05 01:07:45,TRUE,FALSE
8,1,17286,22.9,-82.7,2021-10-05 03:37:45,2022-04-06 00:37:45,TRUE,FALSE
9,1,17256,28.9,-82.7,2022-04-06 10:37:45,2022-04-07 00:37:45,TRUE,FALSE
10,1,18044,31.3,-81.9,2022-04-07 05:07:45,2022-04-13 02:37:45,TRUE,FALSE
11,1,17437,32.7,-82.5,2022-04-13 05:07:45,2022-04-21 01:07:45,TRUE,FALSE
12,1,17614,37.293076,-82.305835,2022-04-21 10:37:45,2022-06-09 10:07:45,TRUE,TRUE
